date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year
2018-02-27,1,2,2018,27,13000.0,1,11.3,,,682.3,621.9,3790,,,1276,687,2223,399092221.33000004,6087349.25,377612400.24,15328871.61,402.107958782148,148.93217476560142,39.29028614457867,42.51658119658124,40.13608033240973,16430294.5,5947027,,,,,,,,,23.8,10.5,,,,,,,773.0
2018-07-31,3,7,2018,31,50000.0,1,3.5,,,725.8000000000002,596.9000000000002,5203,,,1562,840,2905,710286266.2800002,75344446.79999998,496317443.98,135190299.22999996,471.36593154690087,157.27182919960265,43.02506261180718,46.15608695652195,43.89831758034073,20891125.799999997,6870211.300000001,,,,,,,,,85.40000000000002,9.3,,,,,,,773.0
2018-10-31,4,10,2018,31,130000.0,1,90.2,,,1302.9999999999998,1128.7999999999997,6181,,,1977,1013,3424,740840590.21,169398256.02000004,518585345.6300001,48932563.72999996,413.1321096744751,159.38234001654777,42.49528985507281,45.67874747474777,43.28837789661375,18239742.5,6965238.699999999,,,233.9,5158.35,3370.95,19377.4,60718.3,62500.65,28.499999999999996,15.000000000000004,,,,,,,773.0
2018-11-26,4,11,2018,26,11700.0,1,90.2,,,1302.9999999999998,1128.7999999999997,5691,,,1595,874,3135,791061000.3800001,167232853.02999997,563492919.4499998,26382425.120000005,413.1321096744751,159.38234001654777,42.51820175438608,45.75106100795777,43.45692307692349,18239742.5,6965238.699999999,,,242.25,1093.45,646.2,15512.15,82605.8,57693.9,28.499999999999996,15.000000000000004,,,,,,,773.0
2018-12-27,4,12,2018,27,11700.0,1,90.2,,,1302.9999999999998,1128.7999999999997,6678,,,1699,926,3558,3778302556.1500006,653236062.1300001,2244616785.41,886595240.1899999,413.1321096744751,159.38234001654777,42.56029250457082,45.89582441113511,44.35903654485101,18239742.5,6965238.699999999,,,243.05,883.2,594.25,35145.5,80028.45,60155.6,28.499999999999996,15.000000000000004,,,,,,,773.0
2019-01-14,1,1,2019,14,56000.0,1,7.7,,13820,807.3,739.5,3313,,,1066,576,1861,5072604.22,1416623,1897316.02,1701807.2,400.75899111860866,144.6585532281879,42.92837438423697,45.58986820428368,46.31109433962287,17676855.8,6694437.1,,,246.4,3906.4,4519.05,45383.75,75770.7,58752.6,25.6,14.3,,,,,,,882.0
2019-01-23,1,1,2019,23,11700.0,1,7.7,,13820,807.3,739.5,3313,,,1066,576,1861,5072604.22,1416623,1897316.02,1701807.2,400.75899111860866,144.6585532281879,42.92837438423697,45.58986820428368,46.31109433962287,17676855.8,6694437.1,,,246.4,3906.4,4519.05,45383.75,75770.7,58752.6,25.6,14.3,,,,,,,882.0
2019-07-31,3,7,2019,31,77500.0,1,8.5,,13748,979.3,850.2,4813,129,129,1443,717,2508,502614815.3800001,326444527.2,23254446.46999979,150117429.62,481.45512469179147,169.71464525385508,43.31212978369447,44.64864620938596,46.92447058823557,21235530.8,7980933.299999999,109.16666666666667,101.8,252.55,735.1,649,31396.7,71996.85,64739.65,28.599999999999994,12.600000000000001,,,107.4,111.26666666666667,100.66666666666667,15.295,882.0
2019-08-28,3,8,2019,28,62500.0,1,8.5,,12369,979.3,850.2,5225,373,244,1812,935,2793,664498962.7999997,50544341.139999986,235853795.08000016,380003566.37999994,481.45512469179147,169.71464525385508,43.37319923371624,44.90278350515449,47.06158986175133,21235530.8,7980933.299999999,99.35483870967742,106.19354838709677,251.75,722.75,641,34545.5,75850,65272.4,28.599999999999994,12.600000000000001,,,101.03225806451613,98.45161290322581,112.35483870967742,14.83064516,882.0
2019-09-06,3,9,2019,6,77500.0,1,8.5,,11319,979.3,850.2,5362,658,285,1832,909,2836,736755027.2600002,141081415.70999998,476726032.8799999,117829355.08000004,481.45512469179147,169.71464525385508,43.43888888888851,44.96622296172993,47.09074446680111,21235530.8,7980933.299999999,99.76666666666667,101.26666666666667,251.785,717.2,643.35,35805.29,54528.9,65839.85,28.599999999999994,12.600000000000001,,,106.76666666666667,97.73333333333333,109.8,15.211,882.0
