date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-07-26,3,7,2018,26,50000.0,3,13.100000000000023,,,3797.300000000001,3283.2000000000007,20566,,,6662,1992,6721,1158309801.9699998,94266983.32,86625374.37,975431499.3599999,899.3792109393239,383.89204990992386,41.77352201257835,45.20810309278321,43.75014563106778,39051494.60000001,16819935.000000004,,,,,,,,,262.79999999999995,25.400000000000006,,,,,,
2018-08-01,3,8,2018,1,21000.0,2,13.100000000000023,,,3797.300000000001,3283.2000000000007,22604,,,8017,2305,7259,1096443267.8799996,127358306.61000001,91563374.25,875369176.02,899.3792109393239,383.89204990992386,41.48949880668251,45.06317201166163,43.70126694166179,39051494.60000001,16819935.000000004,,,,,,,,,262.79999999999995,25.400000000000006,,,,,,
2019-12-18,4,12,2019,18,45000.0,1,350,10290894.937000005,28912,6065.4,3954.7999999999993,31600,2557,827,10733,2702,9058,3376616267.0599995,781823855.29,1633241262.5100002,948736256.2300005,719.4232426976205,402.16788006912765,41.59443006777568,45.62239321608026,46.29982162764787,31371629.200000003,18419593.5,95.64516129032258,96.38709677419355,1022.2,825,327.5,72253.75,75046,26207.45,960.8,41.599999999999994,,73.03226,127.2903225806452,110.4193548387097,99.90322580645162,18.05225806
2021-05-31,2,5,2021,31,45000.0,2,40.30000000000001,8199333.610000004,20109,2787.8000000000006,2068.5000000000005,36798,10609,-1578,13531,2477,8592,398217676.46000004,25159086.280000016,179558897.45000005,193462802.72999996,799.490736699435,370.96732150567465,44.43398731309478,48.62358167515026,48.3215071659731,37238601.2,17937995.7,146.7096774193548,109.1935483870968,1396.1,915.15,359.2,127332.2,87126.85,32503.9,486.70000000000005,15,13.9,,127.2258064516129,121.2258064516129,93.51612903225806,21.23483871
2021-09-09,3,9,2021,9,30000.0,1,135.5,8694696.273999998,28757,5135.2,3956.8999999999996,39093,6638,138,14191,2519,8642,1021235064.7300005,62748637.120000005,613910676.2299998,342487984.77,907.9067615554183,448.70104908524775,45.21024793388429,49.65160465116295,49.15707461328455,43049602.6,21986880.800000004,137.0666666666667,104.5666666666667,1319.3,1039.15,385.25,124692.4,88025.85,39521.55,328.4,14.100000000000001,17.5,76.8,127.4333333333333,123.2333333333333,82.36666666666666,22.479
2022-04-15,2,4,2022,15,52000.0,1,111.49999999999999,9429896.279999996,26451,5209.099999999999,4074.3,13184,3379,-10900,8238,1386,2758,,,,,875.7536038570357,436.8223602583735,46.79491374182038,51.38085040347612,53.36780421481973,42953793.89999999,23268364.4,114.2666666666667,88.06666666666666,1152.95,1152.5,431.35,114995.5,120414.9,31180.95,614.1,158.29999999999998,18.6,59.4,94.56666666666666,118.7333333333333,64.16666666666667,16.644
2022-06-17,2,6,2022,17,42500.0,6,111.49999999999999,7910992.531000001,29036,5209.099999999999,4074.3,24517,6161,6354,16164,2030,4045,,,,,875.7536038570357,436.8223602583735,46.67802247191009,51.36958992384299,53.30715590345692,42953793.89999999,23268364.4,101.5666666666667,94.03333333333333,1207.033,1136.433,474.5667,119374.5,133420.4,38267.37,614.1,158.29999999999998,22.3,63.1,89.66666666666667,101.8,67.66666666666667,16.26066667
2022-07-26,3,7,2022,26,45000.0,18,180.2,8285503.930999997,28256,4714.700000000001,3761.5,29917,111,-6050,16708,2124,5202,,,,,,,46.63743859649134,51.32818988464918,53.29710434782599,,,91.03333333333333,77.3,1356.9,966.1,449,132389.8,135633.1,44069,470.5999999999999,22.69999999999999,22.4,61,77.9,99.16666666666667,47.33333333333334,19.95
2022-08-15,3,8,2022,15,52500.0,2,180.2,8547243.078999996,28484,4714.700000000001,3761.5,39132,117,6,19796,2481,6608,,,,,,,46.66840023966452,51.27365129500949,53.53980533926613,,,91.90322580645162,96.93548387096774,1409.5,957.45,433,140959,133144.4,50388.65,470.5999999999999,22.69999999999999,23.5,59.4,84.90322580645162,98.06451612903226,63.16129032258065,15.30967742
2022-10-11,4,10,2022,11,45000.0,2,,9629264.52299999,27633,,,,,,,,,,,,,,,46.66680142687283,51.28289637952557,54.01892278953926,,,92.38709677419355,77.19354838709677,1490.1,1029.9,434.35,138782.5,127806.5,57766.4,,,,52.9,77.87096774193549,99.3225806451613,46.80645161290322,20.11806452
