date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-04-26,2,4,2018,26,35000.0,40,97.6,,,2766.9999999999995,1908.6999999999998,20013,,,6523,2058,6776,293963032.28999996,22324678.47999999,86303930.50999999,183429783.23000002,580.9905024197158,303.9104285927367,38.10152189781027,41.55969854856711,39.96882890035739,24373769.199999996,12790027.1,,,,,,,,,262,70.7,,,,,,
2018-11-01,4,11,2018,1,55000.0,48,343.3,,,5184.799999999999,3405.5999999999985,26055,,,8157,2348,8078,803546227.1800003,217571638.32999992,343245802.47,237754891.28999996,1190.3208582636912,454.2164600222287,41.83133538461536,45.56580124223591,45.31178777393323,51953439.79999998,20535641.199999996,,,1111.6,881.25,384.5,95129.95,104830.8,46869.05,892.4000000000001,46.999999999999986,,,,,,
2018-11-06,4,11,2018,6,80000.0,50,343.3,,,5184.799999999999,3405.5999999999985,26055,,,8157,2348,8078,803546227.1800003,217571638.32999992,343245802.47,237754891.28999996,1190.3208582636912,454.2164600222287,41.83133538461536,45.56580124223591,45.31178777393323,51953439.79999998,20535641.199999996,,,1111.6,881.25,384.5,95129.95,104830.8,46869.05,892.4000000000001,46.999999999999986,,,,,,
2018-11-14,4,11,2018,14,60000.0,45,343.3,,,5184.799999999999,3405.5999999999985,26055,,,8157,2348,8078,803546227.1800003,217571638.32999992,343245802.47,237754891.28999996,1190.3208582636912,454.2164600222287,41.83133538461536,45.56580124223591,45.31178777393323,51953439.79999998,20535641.199999996,,,1111.6,881.25,384.5,95129.95,104830.8,46869.05,892.4000000000001,46.999999999999986,,,,,,
2019-02-13,1,2,2019,13,87500.0,1,263.7,,34257,2643.4,1992.3,19942,,,7831,2133,6079,251973439.75,17446230.23,80859628.15999997,152415961.17,752.5184860613093,352.9690375711332,41.50998415213915,45.35347188264041,46.38797275641009,32682308.7,16340485.3,81.92592592592592,89.07407407407408,1070.5,908.75,400.35,78550.5,101741.1,48368.4,225.8,35.8,,,88.29629629629629,102.1111111111111,91.85185185185185,19.9775
2019-07-08,3,7,2019,8,97000.0,5,182.19999999999993,,29770,3471.7000000000007,2819.1000000000004,19020,111,111,6591,1694,5585,1625147033.63,126258286.05999997,834605751.25,663280029.14,765.9903670629238,397.39188427153715,41.84347588264556,45.770645320197,45.13248163693596,33483230.6,17934359.599999998,108.1333333333333,98.63333333333334,990.5,861.5,315.55,76390.9,79545.8,32177.8,267.4000000000001,26.6,,,100.2,104.8666666666667,99.53333333333333,18.80933333
2019-08-27,3,8,2019,27,45000.0,7,182.19999999999993,,31624,3471.7000000000007,2819.1000000000004,20373,595,484,7683,2022,6069,964038479.2399998,44594553.130000055,292648498.1199999,625824019.26,765.9903670629238,397.39188427153715,41.70221316614409,45.67228499686114,45.15357190635441,33483230.6,17934359.599999998,95.48387096774194,112.2903225806452,993.15,823.75,306.45,72156.9,76618.6,31310.35,267.4000000000001,26.6,,,101.8064516129032,98.03225806451613,107.3870967741936,18.45290323
2020-03-19,1,3,2020,19,70000.0,1,355.4,9499291.389999991,26090,2849.9,2142.3,29742,2528,110,10484,2420,8079,307921854.28000003,17568103.499999993,27767348.77,261758427.29000002,668.1185517604887,354.75610434768834,41.59598820058999,45.67548845470689,46.35141225961532,29151309.4,16425544.1,118.258064516129,92.03225806451613,1053.033,1006.9,340.4,74975.47,112868.5,29341.7,221.8,25.6,0.7,69.4,118.1290322580645,109.1290322580645,75.70967741935483,18.20806452
2020-07-07,3,7,2020,7,70000.0,6,348.29999999999995,7672697.326999993,22219,3410.3,2374.7000000000003,31441,3374,605,12597,2824,8497,670830634.56,63009743.79000002,240936937.74,357045348.3399999,831.9190229916287,399.5677753967858,42.20474522293004,46.34279944289685,46.58278243709943,36902134.4,18609860.400000002,127.2333333333333,100,996.7375,987.3625,362.9625,73657.28,115666.1,33840,336.4,14.100000000000001,0.7,76.5,122.5666666666667,137.6,84.1,23.41666667
2020-10-12,4,10,2020,12,40000.0,2,448.79999999999995,8838978.607999997,17329,7138.6,5745.6,44694,7820,1994,15681,3174,11692,619706413.0099998,148967032.52999997,284660667.89999986,179555225.90999985,805.9289410412881,353.54849740699075,42.26775332947295,46.45587777112052,46.49859628074378,35787654.2,16480568.799999997,128.4838709677419,100.0967741935484,1291.5,826.2333,458.1333,90624.53,110928.1,64127.27,532.1,103.19999999999999,7.5,76.4,122.3870967741936,137.6774193548387,84.3225806451613,23.25129032
