date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2022-10-31,4,10,2022,31,50000.0,2,,1602816,5379,,,,,,,,,,,,,,,50.91,47.27,52.93,,,128.074,103.704,,,,56.39,106.704,121.148,94.074,16.47806452
2022-11-01,4,11,2022,1,32500.0,2,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-02,4,11,2022,2,35000.0,2,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-03,4,11,2022,3,50000.0,1,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-07,4,11,2022,7,37250.0,2,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-08,4,11,2022,8,60000.0,5,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-09,4,11,2022,9,40000.0,4,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-10,4,11,2022,10,55000.0,2,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-11,4,11,2022,11,40000.0,5,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-14,4,11,2022,14,59000.0,3,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-15,4,11,2022,15,49250.0,4,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-16,4,11,2022,16,50000.0,3,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-17,4,11,2022,17,40000.0,5,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-21,4,11,2022,21,40000.0,3,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-22,4,11,2022,22,48087.0,7,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-23,4,11,2022,23,45000.0,7,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-24,4,11,2022,24,38750.0,4,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-25,4,11,2022,25,35000.0,5,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-28,4,11,2022,28,47500.0,4,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-29,4,11,2022,29,50000.0,5,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-11-30,4,11,2022,30,60000.0,10,,,,,,,,,,,,,,,,,,50.9,47.27,53.29,,,,,,,,54.33,,,,17.93909091
2022-12-01,4,12,2022,1,35000.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-02,4,12,2022,2,48000.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-03,4,12,2022,3,25000.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-05,4,12,2022,5,56250.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
