date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2000-01-01,20003.8,26687.7,26713.9,35245.9,29090.1,33012.3
2001-01-01,26817.8,35569.3,34912.4,40609.7,41773.2,39216.5
2002-01-01,31941.7,47323.5,42477.6,45756,48321.6,47775.7
2003-01-01,39180.4,62023.3,48572.8,59274.3,59149.2,61444.7
2004-01-01,50678.6,79833.2,61291.7,76042.5,69629.5,81894.8
2005-01-01,60575,104738.3,72794.1,93683.1,87354.7,99159.8
2006-01-01,78642,137092.1,94244,124439.6,110662.7,127442.5
2007-01-01,104603.1,188565.3,125700.4,145543.9,140297.9,164797.5
2008-01-01,134137.4,237595.8,155103.6,183168.7,175587.1,190565.5
2009-01-01,129626,217339.7,165555.1,159428.7,164071.8,159901
2010-01-01,154127.9,259421.5,196914.3,186522,196792.5,187673.7
2011-01-01,179470.3,304342.6,236750.6,231314,233405.3,222664.2
2012-01-01,198129.2,336650.6,274995.7,282918.4,255722.7,241758
2013-01-01,215923.2,359047.3,309837.7,286131.7,281581.1,252988.8
2014-01-01,237465.8,381892.9,328771.2,309520.8,308152.1,284486.7
2015-01-01,280522,437249.1,352601.2,323367.4,338304.4,345597.1
2016-01-01,324802.1,570678.7,407239.7,349351.5,394208.9,380623.8
2017-01-01,341163.4,574838,433626.9,366013.2,428207.8,405015.2
2018-01-01,367627.9,615059.9,444364.1,428715.6,465830.1,436611.1
2019-01-01,389933.4,670800.3,453882,447535.2,505460.2,445276.7
2020-01-01,403949.1,683845.1,460720.2,425161,497418.6,467537.3
