date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year
2018-01-09,1,1,2018,9,11360.25,2,53,,,1266.9,1024.3,3509,,,1306,763,2089,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677,5494683,,,,,,,,,76.7,33.3,,,,,,,509.0
2018-01-19,1,1,2018,19,20000.0,1,53,,,1266.9,1024.3,3509,,,1306,763,2089,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677,5494683,,,,,,,,,76.7,33.3,,,,,,,509.0
2018-02-05,1,2,2018,5,35000.0,50,53,,,1266.9,1024.3,4975,,,1980,1150,2980,56089509.86000001,33562979.38,13706394.869999997,8470135.61,534.0950031894535,139.1969347041314,42.7975,39.4925,39.4825,21978677,5494683,,,,,,,,,76.7,33.3,,,,,,,509.0
2018-06-06,2,6,2018,6,35000.0,1,35.7,,,1041.6999999999998,817.2,6437,,,2141,1223,3566,198077560.69999993,42908993.69,53322445.70999998,101105899.65,575.8480790082934,265.2602518566354,46.037499999999994,42.585,43.102500000000006,24562080,10953480,,,,,,,,,57.89999999999999,31.60000000000001,,,,,,,509.0
2018-06-27,2,6,2018,27,54500.0,2,35.7,,,1041.6999999999998,817.2,6437,,,2141,1223,3566,198077560.69999993,42908993.69,53322445.70999998,101105899.65,575.8480790082934,265.2602518566354,46.037499999999994,42.585,43.102500000000006,24562080,10953480,,,,,,,,,57.89999999999999,31.60000000000001,,,,,,,509.0
2018-07-05,3,7,2018,5,40000.0,3,17.599999999999994,,,1787,1567.8999999999999,6345,,,2402,1342,3584,135633540.82000005,58973916.44,64418313.25999999,10805344.029999971,895.2707122127154,277.6216396971211,46.23,42.8125,43.34,39716820,12038137,,,,,,,,,60.60000000000001,31.099999999999994,,,,,,,509.0
2018-07-09,3,7,2018,9,75000.0,1,17.599999999999994,,,1787,1567.8999999999999,6345,,,2402,1342,3584,135633540.82000005,58973916.44,64418313.25999999,10805344.029999971,895.2707122127154,277.6216396971211,46.23,42.8125,43.34,39716820,12038137,,,,,,,,,60.60000000000001,31.099999999999994,,,,,,,509.0
2018-09-20,3,9,2018,20,22950.0,1,17.599999999999994,,,1787,1567.8999999999999,7141,,,2508,1449,3884,446930571.89999986,82317403.36000001,139486255.24000007,221981954.09999996,895.2707122127154,277.6216396971211,45.8675,42.44499999999999,43.14,39716820,12038137,,,,,,,,,60.60000000000001,31.099999999999994,,,,,,,509.0
2018-10-25,4,10,2018,25,55000.0,1,32.89999999999999,,,2693.9,2167.6000000000004,7838,,,2716,1539,4218,536540523.11000013,83179801.19999999,384166859.52,68737380.38999999,942.4571331713656,280.1140347159343,45.96,42.5025,43.06999999999999,41701372,12116566,,,248,1033.3,591.6,28802.5,81061.1,63437.1,167.10000000000002,56.30000000000001,,,,,,,509.0
2018-10-29,4,10,2018,29,70000.0,1,32.89999999999999,,,2693.9,2167.6000000000004,7838,,,2716,1539,4218,536540523.11000013,83179801.19999999,384166859.52,68737380.38999999,942.4571331713656,280.1140347159343,45.96,42.5025,43.06999999999999,41701372,12116566,,,248,1033.3,591.6,28802.5,81061.1,63437.1,167.10000000000002,56.30000000000001,,,,,,,509.0
2018-11-12,4,11,2018,12,72500.0,1,32.89999999999999,,,2693.9,2167.6000000000004,7871,,,2853,1561,4223,385973112.5,125188715.52000004,219430045.48000002,39612249.390000105,942.4571331713656,280.1140347159343,45.965,42.5,43.1775,41701372,12116566,,,248.5,1045.2,631.8,27869.4,81904.8,65482.2,167.10000000000002,56.30000000000001,,,,,,,509.0
2018-12-17,4,12,2018,17,25000.0,1,32.89999999999999,,,2693.9,2167.6000000000004,8619,,,2721,1581,4627,3823160229.5199995,266944252.18999994,614239352.5699999,2939889635.75,942.4571331713656,280.1140347159343,46.025,42.5325,43.519999999999996,41701372,12116566,,,248,9032.7,701.9,26749.6,85598.6,68967.4,167.10000000000002,56.30000000000001,,,,,,,509.0
2019-03-12,1,3,2019,12,78000.0,1,24.5,,15469,1310,1134.4,2146,,,2146,1133,3077,366210929.01,33925861.70999999,98315034.55999999,233432631.79000002,553.1156874756364,144.20539482352942,46.72,43.11,44.129999999999995,24830746,6384093,98.16129032258064,98.29032258064517,285.4,12594.6,9351.1,28738.1,92922.8,79593,53,14.6,,,88.80645161290323,100.45161290322581,90.45161290322581,15.86677419,463.0
2019-04-24,2,4,2019,24,32500.0,1,58.7,,15593,1556.4,1188,2075,,,2075,1130,3245,150261949.85999995,63089831.56000002,58568576.09,27824134.76999998,580.1155596635549,270.2041546385918,46.739999999999995,43.1125,43.99250000000001,26151126,11934242,107.2,100.2,263.6,1116.6,8890,26876,98511.1,82970.4,131.3,57.699999999999996,,,98.33333333333333,100.43333333333334,90.5,15.89733333,463.0
2019-05-16,2,5,2019,16,50000.0,1,58.7,,29950,1556.4,1188,1891,,,1891,1036,2681,395255171.55999994,41357346.649999976,115799589.92000002,237617364.53000003,580.1155596635549,270.2041546385918,46.8925,43.160000000000004,44.102500000000006,26151126,11934242,100.16129032258064,100.29032258064517,259.9,1072.2,750.2,28995.9,96259.4,72358.5,131.3,57.699999999999996,,,96.96774193548387,88.2258064516129,100.45161290322581,14.79,463.0
