date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-06-21,2,6,2018,21,55000.0,4,97.6,,,2766.9999999999995,1908.6999999999998,19984,,,6197,1859,6637,610734481.9700003,75326756.92000002,135176883.51,399288695.41999996,580.9905024197158,303.9104285927367,42.31839494618615,45.39648610456896,43.93286576869517,24373769.199999996,12790027.1,,,,,,,,,262,70.7,,,,,,
2018-10-22,4,10,2018,22,50000.0,2,343.3,,,5184.799999999999,3405.5999999999985,25502,,,8180,2322,8025,582807860.8000002,152233893.84000003,78977180.55999994,349623159.2999997,1190.3208582636912,454.2164600222287,41.73644268774695,45.48434371523901,44.31442411194823,51953439.79999998,20535641.199999996,,,1064.8,842.05,313.85,87844.4,115822,51545.3,892.4000000000001,46.999999999999986,,,,,,
2018-12-07,4,12,2018,7,45000.0,180,343.3,,,5184.799999999999,3405.5999999999985,28950,,,8216,2422,8934,3610883150.4000006,1073609321.85,1097146559.2300003,1438128560.6800003,1190.3208582636912,454.2164600222287,41.74819434872487,45.51338900487107,46.00718985606562,51953439.79999998,20535641.199999996,,,1044.75,848.6,408.55,84668.5,127981.4,49638.6,892.4000000000001,46.999999999999986,,,,,,
2019-07-28,3,7,2019,28,60000.0,1,182.19999999999993,,29770,3471.7000000000007,2819.1000000000004,19020,111,111,6591,1694,5585,1625147033.63,126258286.05999997,834605751.25,663280029.14,765.9903670629238,397.39188427153715,41.84347588264556,45.770645320197,45.13248163693596,33483230.6,17934359.599999998,108.1333333333333,98.63333333333334,990.5,861.5,315.55,76390.9,79545.8,32177.8,267.4000000000001,26.6,,,100.2,104.8666666666667,99.53333333333333,18.80933333
2019-08-19,3,8,2019,19,14200.0,1,182.19999999999993,,31624,3471.7000000000007,2819.1000000000004,20373,595,484,7683,2022,6069,964038479.2399998,44594553.130000055,292648498.1199999,625824019.26,765.9903670629238,397.39188427153715,41.70221316614409,45.67228499686114,45.15357190635441,33483230.6,17934359.599999998,95.48387096774194,112.2903225806452,993.15,823.75,306.45,72156.9,76618.6,31310.35,267.4000000000001,26.6,,,101.8064516129032,98.03225806451613,107.3870967741936,18.45290323
2019-10-08,4,10,2019,8,29000.0,5,350,,29965,6065.4,3954.7999999999993,23851,1380,751,8985,2296,6869,624053972.5900002,144356169.05,350020905.74000025,129610708.12000036,719.4232426976205,402.16788006912765,41.56416974169746,45.56578805809588,45.13318376068384,31371629.200000003,18419593.5,109.7096774193548,98.64516129032258,969.9667,873.3,321.6,73126.67,69970.43,27858.07,960.8,41.599999999999994,,,99.61290322580645,105.258064516129,98.93548387096774,18.80354839
2020-02-06,1,2,2020,6,47500.0,30,355.4,9587565.26299999,26116,2849.9,2142.3,25275,2418,492,9025,2103,7063,307790211.62,52600251.300000004,31196050.45,247062850.26,668.1185517604887,354.75610434768834,41.59427767354596,45.65900758533497,46.31935897435882,29151309.4,16425544.1,88,91.64285714285714,1113.7,769.85,315.2,81331,64408.7,23438.75,221.8,25.6,,71.3,98.82142857142857,116.6071428571429,98.28571428571429,19.66607143
2020-04-09,2,4,2020,9,30000.0,49,189.10000000000002,8244002.352999994,25490,2049.7999999999997,1259.1,15127,2374,-154,4449,1098,4361,297429210.76,53231681.74000001,114140309.00999999,126106329.05000001,508.5649207325391,292.63598128658623,41.48658371040723,45.52857554786627,46.27885386819477,22195200.5,13563069.200000001,40.9,54.96666666666667,974.45,993.9,340.75,73302.38,117343.7,27539.95,320.7,11.199999999999996,-32.8,43.1,78.4,45.43333333333333,21.06666666666667,28.20466667
2020-06-15,2,6,2020,15,34500.0,2,189.10000000000002,7146980.677999996,22449,2049.7999999999997,1259.1,23289,2769,934,8803,2155,6573,428151927.9799999,205789249.94,68520507.41000003,152949268.11,508.5649207325391,292.63598128658623,41.84653987433539,45.9770581783499,46.51584381551361,22195200.5,13563069.200000001,134.6666666666667,107.7,983.325,1054.675,353.175,70743.6,95097.28,28810.5,320.7,11.199999999999996,-13.3,71.7,122.7666666666667,102.2333333333333,50.9,23.21666667
2020-07-07,3,7,2020,7,55000.0,8,348.29999999999995,7672697.326999993,22219,3410.3,2374.7000000000003,31441,3374,605,12597,2824,8497,670830634.56,63009743.79000002,240936937.74,357045348.3399999,831.9190229916287,399.5677753967858,42.20474522293004,46.34279944289685,46.58278243709943,36902134.4,18609860.400000002,127.2333333333333,100,996.7375,987.3625,362.9625,73657.28,115666.1,33840,336.4,14.100000000000001,0.7,76.5,122.5666666666667,137.6,84.1,23.41666667
2020-07-08,3,7,2020,8,55000.0,1,348.29999999999995,7672697.326999993,22219,3410.3,2374.7000000000003,31441,3374,605,12597,2824,8497,670830634.56,63009743.79000002,240936937.74,357045348.3399999,831.9190229916287,399.5677753967858,42.20474522293004,46.34279944289685,46.58278243709943,36902134.4,18609860.400000002,127.2333333333333,100,996.7375,987.3625,362.9625,73657.28,115666.1,33840,336.4,14.100000000000001,0.7,76.5,122.5666666666667,137.6,84.1,23.41666667
2020-08-10,3,8,2020,10,34500.0,9,348.29999999999995,7577615.729000012,19411,3410.3,2374.7000000000003,33960,4481,1107,13537,2960,9209,637682229.3600001,157710487.17000002,201269012.37999994,274676928.86000013,831.9190229916287,399.5677753967858,42.3358929577464,46.55166012338761,46.629251899474,36902134.4,18609860.400000002,122.8709677419355,123.6129032258064,1155.367,929.5167,348.0833,70306.77,113508.1,28671.93,336.4,14.100000000000001,3.6,76,126.1290322580645,118.8387096774194,108.9354838709677,21.83451613
2020-08-13,3,8,2020,13,35500.0,3,348.29999999999995,7577615.729000012,19411,3410.3,2374.7000000000003,33960,4481,1107,13537,2960,9209,637682229.3600001,157710487.17000002,201269012.37999994,274676928.86000013,831.9190229916287,399.5677753967858,42.3358929577464,46.55166012338761,46.629251899474,36902134.4,18609860.400000002,122.8709677419355,123.6129032258064,1155.367,929.5167,348.0833,70306.77,113508.1,28671.93,336.4,14.100000000000001,3.6,76,126.1290322580645,118.8387096774194,108.9354838709677,21.83451613
2020-09-14,3,9,2020,14,35500.0,1,348.29999999999995,7785704.915000001,17054,3410.3,2374.7000000000003,42202,5826,1345,15279,3158,11189,1275911172.5900002,267590698.89999998,239342342.9000001,753342120.76,831.9190229916287,399.5677753967858,42.27419570405723,46.43777168494523,46.5129000492367,36902134.4,18609860.400000002,114,108.9,1222.383,921,531.1,85753.37,113661.4,40265.93,336.4,14.100000000000001,6.5,78.2,122.0666666666667,124.4,103.5666666666667,23.005
