date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-02-13,1,2,2018,13,27500.0,1,42.8,,,517,385,6139,,,1542,848,3794,17006466,7289861.119999999,7280470.700000001,2436134.88,305.60714753205036,88.95439893854095,37.17012195121948,40.17804878048776,40.25397727272733,11828326,3583377,,,,,,,,,48.1,8.8,,,,,,
2018-10-24,4,10,2018,24,15000.0,1,14.399999999999991,,,1310.7,1164.1,9239,,,2796,1347,5032,320000000,117445347.63999999,111335932.97000003,95702527.69,425.2252285612906,86.61213877384041,,43.3,,17724731,3960337,,,265.05,787.6,653.75,21659.1,34332.8,59985.4,33.20000000000002,13.100000000000001,,,,,,
2019-04-10,2,4,2019,10,52500.0,1,4.5,,8107,662.6,560.4,7318,,,2131,1028,4003,196000000,26176742.160000004,139552142.76,30045972.38,359.916667756028,105.56949338140032,40.86666666666665,43.95679999999999,44.83111111111111,15331659,4745800,117.8666667,91.46666667,222.15,1007.2,1043.9,10608.7,52379.35,70935.1,34.4,12.799999999999999,,,90.2,103.3,91.96666667,15.60166667
2019-06-14,2,6,2019,14,70000.0,1,4.5,,8056,662.6,560.4,6474,,,1907,886,3483,223000000,37811627.349999994,132000379.09000003,54895975.34000003,359.916667756028,105.56949338140032,41.40536480686683,44.2447368421052,45.07805429864266,15331659,4745800,103.2333333,106.5333333,207.45,783.2,696.1,14250.2,69338,65146.75,34.4,12.799999999999999,,,104.9,95.96666667,106.6666667,14.581
2019-06-17,2,6,2019,17,55000.0,1,4.5,,8056,662.6,560.4,6474,,,1907,886,3483,223000000,37811627.349999994,132000379.09000003,54895975.34000003,359.916667756028,105.56949338140032,41.40536480686683,44.2447368421052,45.07805429864266,15331659,4745800,103.2333333,106.5333333,207.45,783.2,696.1,14250.2,69338,65146.75,34.4,12.799999999999999,,,104.9,95.96666667,106.6666667,14.581
2019-08-05,3,8,2019,5,55000.0,1,76.7,,9058,915.8,665.3,7149,252,144,1795,838,3822,630000000,78748932.38000003,526676287.90999997,19488483.850000024,428.92499451533007,159.42203163618387,41.4,44.3,44.96666666666667,18369075,7166906,93.22580645,110.7741935,193.1,746.75,674.8,14908.6,69950.5,66891.8,40.60000000000001,13.599999999999998,,,106.8387097,99.87096774,108.7741935,14.31709677
2019-08-09,3,8,2019,9,55000.0,3,76.7,,9058,915.8,665.3,7149,252,144,1795,838,3822,630000000,78748932.38000003,526676287.90999997,19488483.850000024,428.92499451533007,159.42203163618387,41.4,44.3,44.96666666666667,18369075,7166906,93.22580645,110.7741935,193.1,746.75,674.8,14908.6,69950.5,66891.8,40.60000000000001,13.599999999999998,,,106.8387097,99.87096774,108.7741935,14.31709677
2019-09-02,3,9,2019,2,70000.0,1,76.7,,10198,915.8,665.3,7913,281,29,2203,988,4208,340000000,129073574.83000001,205899981.45000005,7132197.430000067,428.92499451533007,159.42203163618387,,44.2,44.90000000000001,18369075,7166906,108.6,102.2666667,177.15,778,668.55,15105.5,77848.45,67074.3,40.60000000000001,13.599999999999998,,,104.8333333,98.4,105.2,14.37166667
2019-09-12,3,9,2019,12,62500.0,4,76.7,,10198,915.8,665.3,7913,281,29,2203,988,4208,340000000,129073574.83000001,205899981.45000005,7132197.430000067,428.92499451533007,159.42203163618387,,44.2,44.90000000000001,18369075,7166906,108.6,102.2666667,177.15,778,668.55,15105.5,77848.45,67074.3,40.60000000000001,13.599999999999998,,,104.8333333,98.4,105.2,14.37166667
2019-11-15,4,11,2019,15,55000.0,1,11.099999999999994,,9201,1298.4,1030.3000000000002,8717,278,-42,2252,1024,4577,650000000,85553894.17999995,261872994.43000007,303500782.62,416.1439110897595,74.35302136099708,41.29999999999999,44.42708333333334,46.10896860986566,17848214,3410663,109.5333333,101.6,,718.05,676.25,14287.75,75250.8,71480.7,73,19.200000000000003,,,111.4333333,122.4333333,103.6333333,15.08566667
