date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-01-03,1,1,2018,3,23000.0,1,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
2018-01-04,1,1,2018,4,65000.0,6,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
2018-01-05,1,1,2018,5,35000.0,2,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
2018-01-08,1,1,2018,8,14000.0,1,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
2018-01-09,1,1,2018,9,13000.0,11,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
2018-01-10,1,1,2018,10,20300.0,14,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
2018-01-11,1,1,2018,11,18875.0,24,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
2018-01-12,1,1,2018,12,18000.0,35,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
2018-01-13,1,1,2018,13,43750.0,2,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
2018-01-14,1,1,2018,14,21750.0,2,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
