date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-02-06,1,2,2018,6,30000.0,1,42.8,,,517,385,6139,,,1542,848,3794,17006466,7289861.119999999,7280470.700000001,2436134.88,305.60714753205036,88.95439893854095,37.17012195121948,40.17804878048776,40.25397727272733,11828326,3583377,,,,,,,,,48.1,8.8,,,,,,
2018-05-03,2,5,2018,3,36000.0,2,7.5,,,576.9000000000001,543.6,7170,,,1823,979,4256,128000000,59243570.04,65567262.15,2954148.0199999996,350.9920156031881,93.95169354262919,38.846234177215,41.38546374367623,41.90876427132276,14139282,3951184,,,,,,,,,17.6,6.899999999999999,,,,,,
2018-05-08,2,5,2018,8,20000.0,1,7.5,,,576.9000000000001,543.6,7170,,,1823,979,4256,128000000,59243570.04,65567262.15,2954148.0199999996,350.9920156031881,93.95169354262919,38.846234177215,41.38546374367623,41.90876427132276,14139282,3951184,,,,,,,,,17.6,6.899999999999999,,,,,,
2018-05-20,2,5,2018,20,50000.0,1,7.5,,,576.9000000000001,543.6,7170,,,1823,979,4256,128000000,59243570.04,65567262.15,2954148.0199999996,350.9920156031881,93.95169354262919,38.846234177215,41.38546374367623,41.90876427132276,14139282,3951184,,,,,,,,,17.6,6.899999999999999,,,,,,
2018-11-16,4,11,2018,16,30000.0,1,14.399999999999991,,,1310.7,1164.1,8966,,,2426,1207,4953,320000000,90607444.33000004,189918583.13999987,35397924.40999997,425.2252285612906,86.61213877384041,40.15000000000001,43.08611111111109,45.43881856540084,17724731,3960337,,,261.5,726.7,644.8,22467.15,63500.25,62762.5,33.20000000000002,13.100000000000001,,,,,,
2018-11-19,4,11,2018,19,20000.0,13,14.399999999999991,,,1310.7,1164.1,8966,,,2426,1207,4953,320000000,90607444.33000004,189918583.13999987,35397924.40999997,425.2252285612906,86.61213877384041,40.15000000000001,43.08611111111109,45.43881856540084,17724731,3960337,,,261.5,726.7,644.8,22467.15,63500.25,62762.5,33.20000000000002,13.100000000000001,,,,,,
2018-12-05,4,12,2018,5,50000.0,1,14.399999999999991,,,1310.7,1164.1,10899,,,3086,1496,5845,1500000000,166471897.32999992,719537161.8399999,617105749.6099999,425.2252285612906,86.61213877384041,40.24634146341469,43.11833333333344,46.01111111111112,17724731,3960337,,,274.3,742.4,631.05,23612.3,66560.3,64667.7,33.20000000000002,13.100000000000001,,,,,,
2018-12-13,4,12,2018,13,90000.0,1,14.399999999999991,,,1310.7,1164.1,10899,,,3086,1496,5845,1500000000,166471897.32999992,719537161.8399999,617105749.6099999,425.2252285612906,86.61213877384041,40.24634146341469,43.11833333333344,46.01111111111112,17724731,3960337,,,274.3,742.4,631.05,23612.3,66560.3,64667.7,33.20000000000002,13.100000000000001,,,,,,
2019-02-07,1,2,2019,7,75000.0,1,10.2,,7257,568.6,495.9,7036,,,2069,967,3830,100140572.19,16594285.120000001,82224866.58,1650235.2599999998,312.40675141250546,103.23224998432725,,43.5,46.27857142857142,13265534,4784544,120.1111111,91.74074074,244.7,11493.45,9281.6,22215.4,69183.25,65050.15,16.9,7.4,,,90.22222222,105.962963,92.59259259,15.12357143
2019-02-09,1,2,2019,9,42500.0,185,10.2,,7257,568.6,495.9,7036,,,2069,967,3830,100140572.19,16594285.120000001,82224866.58,1650235.2599999998,312.40675141250546,103.23224998432725,,43.5,46.27857142857142,13265534,4784544,120.1111111,91.74074074,244.7,11493.45,9281.6,22215.4,69183.25,65050.15,16.9,7.4,,,90.22222222,105.962963,92.59259259,15.12357143
2019-02-19,1,2,2019,19,20000.0,1,10.2,,7257,568.6,495.9,7036,,,2069,967,3830,100140572.19,16594285.120000001,82224866.58,1650235.2599999998,312.40675141250546,103.23224998432725,,43.5,46.27857142857142,13265534,4784544,120.1111111,91.74074074,244.7,11493.45,9281.6,22215.4,69183.25,65050.15,16.9,7.4,,,90.22222222,105.962963,92.59259259,15.12357143
2019-04-11,2,4,2019,11,30000.0,1,4.5,,8107,662.6,560.4,7318,,,2131,1028,4003,196000000,26176742.160000004,139552142.76,30045972.38,359.916667756028,105.56949338140032,40.86666666666665,43.95679999999999,44.83111111111111,15331659,4745800,117.8666667,91.46666667,222.15,1007.2,1043.9,10608.7,52379.35,70935.1,34.4,12.799999999999999,,,90.2,103.3,91.96666667,15.60166667
2019-05-09,2,5,2019,9,20000.0,1,4.5,,9039,662.6,560.4,5600,,,1788,849,3058,359000000,11585120.61,129194747.29000002,217762706.88,359.916667756028,105.56949338140032,41.1490654205606,43.96417910447754,44.95365853658533,15331659,4745800,91.29032258,96.03225806,219.0667,798.3667,697.6333,14821.63,65593.83,65464.2,34.4,12.799999999999999,,,93.90322581,87.38709677,96.38709677,14.50096774
2019-05-24,2,5,2019,24,20000.0,1,4.5,,9039,662.6,560.4,5600,,,1788,849,3058,359000000,11585120.61,129194747.29000002,217762706.88,359.916667756028,105.56949338140032,41.1490654205606,43.96417910447754,44.95365853658533,15331659,4745800,91.29032258,96.03225806,219.0667,798.3667,697.6333,14821.63,65593.83,65464.2,34.4,12.799999999999999,,,93.90322581,87.38709677,96.38709677,14.50096774
2019-06-26,2,6,2019,26,30000.0,1,4.5,,8056,662.6,560.4,6474,,,1907,886,3483,223000000,37811627.349999994,132000379.09000003,54895975.34000003,359.916667756028,105.56949338140032,41.40536480686683,44.2447368421052,45.07805429864266,15331659,4745800,103.2333333,106.5333333,207.45,783.2,696.1,14250.2,69338,65146.75,34.4,12.799999999999999,,,104.9,95.96666667,106.6666667,14.581
2019-07-05,3,7,2019,5,22500.0,1,76.7,,9145,915.8,665.3,7121,108,108,1719,810,3846,480000000,27054852.959999993,202595149.66999996,251335113.0899999,428.92499451533007,159.42203163618387,41.32592592592591,44.36617647058824,45,18369075,7166906,128.6333333,101.5333333,192.4,755.05,679.5,13076.65,68981.1,65926.45,40.60000000000001,13.599999999999998,,,103.2333333,106.7666667,103.9333333,14.36933333
2019-07-15,3,7,2019,15,20000.0,1,76.7,,9145,915.8,665.3,7121,108,108,1719,810,3846,480000000,27054852.959999993,202595149.66999996,251335113.0899999,428.92499451533007,159.42203163618387,41.32592592592591,44.36617647058824,45,18369075,7166906,128.6333333,101.5333333,192.4,755.05,679.5,13076.65,68981.1,65926.45,40.60000000000001,13.599999999999998,,,103.2333333,106.7666667,103.9333333,14.36933333
2019-07-29,3,7,2019,29,30000.0,1,76.7,,9145,915.8,665.3,7121,108,108,1719,810,3846,480000000,27054852.959999993,202595149.66999996,251335113.0899999,428.92499451533007,159.42203163618387,41.32592592592591,44.36617647058824,45,18369075,7166906,128.6333333,101.5333333,192.4,755.05,679.5,13076.65,68981.1,65926.45,40.60000000000001,13.599999999999998,,,103.2333333,106.7666667,103.9333333,14.36933333
2019-07-31,3,7,2019,31,52500.0,2,76.7,,9145,915.8,665.3,7121,108,108,1719,810,3846,480000000,27054852.959999993,202595149.66999996,251335113.0899999,428.92499451533007,159.42203163618387,41.32592592592591,44.36617647058824,45,18369075,7166906,128.6333333,101.5333333,192.4,755.05,679.5,13076.65,68981.1,65926.45,40.60000000000001,13.599999999999998,,,103.2333333,106.7666667,103.9333333,14.36933333
2019-09-13,3,9,2019,13,70000.0,1,76.7,,10198,915.8,665.3,7913,281,29,2203,988,4208,340000000,129073574.83000001,205899981.45000005,7132197.430000067,428.92499451533007,159.42203163618387,,44.2,44.90000000000001,18369075,7166906,108.6,102.2666667,177.15,778,668.55,15105.5,77848.45,67074.3,40.60000000000001,13.599999999999998,,,104.8333333,98.4,105.2,14.37166667
2019-10-16,4,10,2019,16,45000.0,1,11.099999999999994,,8804,1298.4,1030.3000000000002,8828,320,39,2335,1029,4609,290000000,93046937.75,185950271.53999996,7808302.309999943,416.1439110897595,74.35302136099708,41.29999999999999,44.4725,45.19090909090911,17848214,3410663,130.5483871,101.6451613,161.2,730.8333,666.9667,15121.8,74749.27,69188.17,73,19.200000000000003,,,103.1935484,107.7419355,103.1935484,14.35774194
2019-11-12,4,11,2019,12,70000.0,1,11.099999999999994,,9201,1298.4,1030.3000000000002,8717,278,-42,2252,1024,4577,650000000,85553894.17999995,261872994.43000007,303500782.62,416.1439110897595,74.35302136099708,41.29999999999999,44.42708333333334,46.10896860986566,17848214,3410663,109.5333333,101.6,,718.05,676.25,14287.75,75250.8,71480.7,73,19.200000000000003,,,111.4333333,122.4333333,103.6333333,15.08566667
2019-11-13,4,11,2019,13,30000.0,1,11.099999999999994,,9201,1298.4,1030.3000000000002,8717,278,-42,2252,1024,4577,650000000,85553894.17999995,261872994.43000007,303500782.62,416.1439110897595,74.35302136099708,41.29999999999999,44.42708333333334,46.10896860986566,17848214,3410663,109.5333333,101.6,,718.05,676.25,14287.75,75250.8,71480.7,73,19.200000000000003,,,111.4333333,122.4333333,103.6333333,15.08566667
