date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-04-13,2,4,2018,13,38000.0,1,29.30000000000001,,,494.0000000000001,423.29999999999995,5031,,,1203,587,2941,73906458.47,5591061.23,32789082.72,34245297.519999996,290.5653203172667,106.76374180131181,40.52,37.57,39.86,11905914,4449201,,,26.5,,,,,,,
2018-06-09,2,6,2018,9,47500.0,1,29.30000000000001,,,494.0000000000001,423.29999999999995,4619,,,995,492,2533,192255624.88,9888152.050000004,61952939.47,119470218.36000001,290.5653203172667,106.76374180131181,44.05,41.62,43.29,11905914,4449201,,,26.5,,,,,,,
2018-07-17,3,7,2018,17,34500.0,1,47.30000000000001,,,555.1999999999998,393.29999999999995,4425,,,896,483,2544,139292858.94000006,11161254.18,86860886.72,37308696.53999999,289.6994549763033,102.56130680498568,43.64,40.73,42.99,12225317,4415948,,,36.50000000000001,,,,,,,
2018-07-26,3,7,2018,26,28000.0,1,47.30000000000001,,,555.1999999999998,393.29999999999995,4425,,,896,483,2544,139292858.94000006,11161254.18,86860886.72,37308696.53999999,289.6994549763033,102.56130680498568,43.64,40.73,42.99,12225317,4415948,,,36.50000000000001,,,,,,,
2018-08-03,3,8,2018,3,30000.0,1,47.30000000000001,,,555.1999999999998,393.29999999999995,4795,,,1214,571,2712,153028608.70999992,19510151.489999995,102702016.05000001,30691191.119999975,289.6994549763033,102.56130680498568,43.75,40.71,43.08,12225317,4415948,,,36.50000000000001,,,,,,,
2018-09-15,3,9,2018,15,42500.0,1,47.30000000000001,,,555.1999999999998,393.29999999999995,4914,,,1219,571,2726,139920993.7700001,30621060.25,71442892.68,37745343.84000003,289.6994549763033,102.56130680498568,43.7,40.67,43.1,12225317,4415948,,,36.50000000000001,,,,,,,
2018-09-20,3,9,2018,20,36500.0,1,47.30000000000001,,,555.1999999999998,393.29999999999995,4914,,,1219,571,2726,139920993.7700001,30621060.25,71442892.68,37745343.84000003,289.6994549763033,102.56130680498568,43.7,40.67,43.1,12225317,4415948,,,36.50000000000001,,,,,,,
2018-10-31,4,10,2018,31,73000.0,4,18.30000000000001,,,792.7000000000003,689.8000000000002,5509,,,1281,627,3009,726714013.8,38496672.42999999,133688961.23999995,553294524.1299999,290.13619055142993,115.64735807695214,43.77,40.69,43.27,12241813,5099663,,,38.099999999999994,,,,,,,
2018-11-30,4,11,2018,30,74000.0,3,18.30000000000001,,,792.7000000000003,689.8000000000002,5821,,,1291,587,3089,215491617.67000008,22815882.670000017,133865963.31000006,56534782.69000006,290.13619055142993,115.64735807695214,43.68,40.7,43.9,12241813,5099663,,,38.099999999999994,,,,,,,
2018-12-06,4,12,2018,6,65000.0,1,18.30000000000001,,,792.7000000000003,689.8000000000002,6399,,,1288,593,3501,431009066.36000013,44851555.93000001,155610589.64,228567107.78999996,290.13619055142993,115.64735807695214,43.66,40.66,45.12,12241813,5099663,,,38.099999999999994,,,,,,,
