date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-01-31,1,1,2018,31,62500.0,1,179.2,,,808.9,453.5,2794,,,799,383,1644,22748116.11,1472812.33,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888,3919388,,,6.4,,,,,,,
2018-02-20,1,2,2018,20,55000.0,1,179.2,,,808.9,453.5,4078,,,1036,534,2444,56083602.55,13221913.37,33879275.53,8902572.65,277.1938641344047,99.29204526262457,40.26,37.32,39.51,10751888,3919388,,,6.4,,,,,,,
2018-03-27,1,3,2018,27,70000.0,1,179.2,,,808.9,453.5,4717,,,1153,587,2756,70844837.80000001,4283859.43,49276667.519999996,17214929.85,277.1938641344047,99.29204526262457,40.26,37.31,39.44,10751888,3919388,,,6.4,,,,,,,
2018-06-18,2,6,2018,18,55000.0,1,29.30000000000001,,,494.0000000000001,423.29999999999995,4619,,,995,492,2533,192255624.88,9888152.050000004,61952939.47,119470218.36000001,290.5653203172667,106.76374180131181,44.05,41.62,43.29,11905914,4449201,,,26.5,,,,,,,
2019-05-29,2,5,2019,29,20000.0,1,13.6,,1150,465.29999999999995,384.5,3233,,,681,298,1783,74881797.56,10712345.329999998,27475302.959999993,36607431.269999996,279.8951867927454,103.40912621359223,44.33,41.26,44.21,12037359,4615494,94.71,99.129,12.8,11.5,,,95,92.71,99.032,14.76677419
2020-02-03,1,2,2020,3,60000.0,1,127,1664615,1584,912,645,4974,4585,725,1263,467,2478,171429792.17000002,9148427.61,7694673.24,144418752.04999998,251.85199023943878,97.57842385516508,45.31,42.11,47.07,11009290,4581307,95.75,92,10,3.1,,73.41,101.929,114.036,98.321,15.91678571
2020-02-19,1,2,2020,19,65000.0,1,127,1664615,1584,912,645,4974,4585,725,1263,467,2478,171429792.17000002,9148427.61,7694673.24,144418752.04999998,251.85199023943878,97.57842385516508,45.31,42.11,47.07,11009290,4581307,95.75,92,10,3.1,,73.41,101.929,114.036,98.321,15.91678571
2020-03-06,1,3,2020,6,60000.0,1,127,1730991,1493,912,645,6025,5551,966,1426,509,2947,79237705.40999997,13194926.42,21389887.61,44624789.22,251.85199023943878,97.57842385516508,45.31,42.1,46.84,11009290,4581307,120.677,88.387,10,3.1,0.5,70.35,122.065,106.29,68.452,14.49032258
2020-06-25,2,6,2020,25,47500.0,1,8,1339534,2171,419.0999999999999,345,5300,9064,1188,1543,584,2537,89448044.56,19599189.1,49960568.63000001,19792426.189999998,211.53035455585206,81.63618243980505,45.49,42.26,45.82,9247402,3740842,121.4,104.233,22,2.5,-16.23,66.93,133.4,103.467,41.633,18.49266667
2020-11-18,4,11,2020,18,50000.0,1,7,1731663,1930,761.3000000000002,672.3999999999999,8582,21927,2941,2260,724,3852,321246547.93000007,68537638.22999999,80599129.84000003,163202902.11,265.5825599641336,101.04179169070976,46.2,42.97,46.05,11847638,4669478,148.8,98.2,22,15.1,3.3,67.07,146.233,130.267,65.567,20.91333333
