date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-09-05,3,9,2018,5,50000.0,3,65.9,,,708.0999999999999,426.4000000000001,4981,,,1051,593,3477,232243923.22999978,104114828.67000002,24413013.77000001,103716080.78999996,389.92483684786083,70.9832431281098,39.64146258503398,42.8638626609442,43.49530769230771,16090326.900000002,3089029.3,,,,,,,,,42.900000000000006,0.10000000000000009,,,,,,
2018-10-08,4,10,2018,8,31000.0,1,30,,,1164.1,980.5999999999999,5787,,,1236,684,3996,208014121.09000015,107230517.59999996,51237372.30000001,49546231.19000006,201.7073008550955,61.42741900185056,39.65656934306566,42.85299539170506,43.56050420168066,8319137,2742314.700000001,,,165.15,698.85,713.85,8921.85,63086,38310.6,87.9,3.1000000000000005,,,,,,
2018-11-27,4,11,2018,27,45000.0,1,30,,,1164.1,980.5999999999999,5575,,,1115,636,3823,762299772.2800002,157716927.47999996,82248674.70999998,516134054.72,201.7073008550955,61.42741900185056,39.64105571847502,42.83445692883897,44.84618902439025,8319137,2742314.700000001,,,154.55,671.35,541,8391.8,59455,39115.25,87.9,3.1000000000000005,,,,,,
2018-11-30,4,11,2018,30,27500.0,18,30,,,1164.1,980.5999999999999,5575,,,1115,636,3823,762299772.2800002,157716927.47999996,82248674.70999998,516134054.72,201.7073008550955,61.42741900185056,39.64105571847502,42.83445692883897,44.84618902439025,8319137,2742314.700000001,,,154.55,671.35,541,8391.8,59455,39115.25,87.9,3.1000000000000005,,,,,,
2018-12-03,4,12,2018,3,80000.0,1,30,,,1164.1,980.5999999999999,6730,,,1175,669,4612,1051261562.75,177884672.2600001,197867140.54999995,664930155.8900001,201.7073008550955,61.42741900185056,39.65461254612543,42.82196261682244,45.52281632653065,8319137,2742314.700000001,,,151.3,677.2,527.1,11611.35,58451.95,38767.5,87.9,3.1000000000000005,,,,,,
2018-12-05,4,12,2018,5,42500.0,1,30,,,1164.1,980.5999999999999,6730,,,1175,669,4612,1051261562.75,177884672.2600001,197867140.54999995,664930155.8900001,201.7073008550955,61.42741900185056,39.65461254612543,42.82196261682244,45.52281632653065,8319137,2742314.700000001,,,151.3,677.2,527.1,11611.35,58451.95,38767.5,87.9,3.1000000000000005,,,,,,
2019-01-17,1,1,2019,17,62000.0,6,23.5,,2734,393.9,335.6,3443,,,686,385,2293,19799274.58,3608518.7,12000000,4190755.88,200.03205593550794,52.83953072059648,40.31662420382163,43.39020477815703,46.31094155844156,8406155,2453919,,,155.25,702.75,759.45,13107.2,56794,41894.5,14.2,,,,,,,
2019-02-12,1,2,2019,12,66000.0,6,23.5,,2839,393.9,335.6,4510,,,909,487,3046,57993414.769999996,42317435.86,941884.9800000004,12734093.93,200.03205593550794,52.83953072059648,40.95142361111109,43.82756457564572,46.60218637992828,8406155,2453919,83.4074074074074,97.37037037037037,157.65,711.95,684.2,11818.85,57063.25,40938.4,14.2,,,,86.70370370370371,96.4074074074074,90.5925925925926,15.81888889
2019-02-22,1,2,2019,22,130000.0,2,23.5,,2839,393.9,335.6,4510,,,909,487,3046,57993414.769999996,42317435.86,941884.9800000004,12734093.93,200.03205593550794,52.83953072059648,40.95142361111109,43.82756457564572,46.60218637992828,8406155,2453919,83.4074074074074,97.37037037037037,157.65,711.95,684.2,11818.85,57063.25,40938.4,14.2,,,,86.70370370370371,96.4074074074074,90.5925925925926,15.81888889
2019-03-13,1,3,2019,13,58000.0,2,23.5,,4193,393.9,335.6,4720,,,1057,478,3083,517911980.55999994,14284437.519999996,460463.8499999996,503082209.19,200.03205593550794,52.83953072059648,40.19230158730157,43.46611764705882,46.40977859778602,8406155,2453919,91.90322580645162,95.64516129032258,155.4,728.4,645.25,12620.4,56276.4,40536.8,14.2,,,,89.12903225806451,98.38709677419355,97.45161290322581,15.71548387
