date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-01-09,1,1,2018,9,47500.0,2,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-01-10,1,1,2018,10,25000.0,1,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-01-14,1,1,2018,14,26500.0,1,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-01-15,1,1,2018,15,30000.0,1,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-01-17,1,1,2018,17,30000.0,1,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-01-19,1,1,2018,19,46250.0,2,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-01-23,1,1,2018,23,20000.0,1,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-01-24,1,1,2018,24,55000.0,3,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-01-26,1,1,2018,26,30000.0,1,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-01-27,1,1,2018,27,32500.0,1,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
