date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-04-16,2,4,2018,16,10913.0,1,49.5,,,483.29999999999995,367.8,4906,,,833,498,3639,105135855.71000001,20914529.9,70877119.22,13344206.59,240.317691823201,56.73233817000438,36.82500000000005,40.00406896551723,40.53845637583893,9615700.100000001,2393321.9,,,,,,,,,28.299999999999997,1.0999999999999999,,,,,,
2018-04-28,2,4,2018,28,12838.0,1,49.5,,,483.29999999999995,367.8,4906,,,833,498,3639,105135855.71000001,20914529.9,70877119.22,13344206.59,240.317691823201,56.73233817000438,36.82500000000005,40.00406896551723,40.53845637583893,9615700.100000001,2393321.9,,,,,,,,,28.299999999999997,1.0999999999999999,,,,,,
2018-10-04,4,10,2018,4,18000.0,1,30,,,1164.1,980.5999999999999,5787,,,1236,684,3996,208014121.09000015,107230517.59999996,51237372.30000001,49546231.19000006,201.7073008550955,61.42741900185056,39.65656934306566,42.85299539170506,43.56050420168066,8319137,2742314.700000001,,,165.15,698.85,713.85,8921.85,63086,38310.6,87.9,3.1000000000000005,,,,,,
2018-10-10,4,10,2018,10,43000.0,1,30,,,1164.1,980.5999999999999,5787,,,1236,684,3996,208014121.09000015,107230517.59999996,51237372.30000001,49546231.19000006,201.7073008550955,61.42741900185056,39.65656934306566,42.85299539170506,43.56050420168066,8319137,2742314.700000001,,,165.15,698.85,713.85,8921.85,63086,38310.6,87.9,3.1000000000000005,,,,,,
2018-11-06,4,11,2018,6,18000.0,1,30,,,1164.1,980.5999999999999,5575,,,1115,636,3823,762299772.2800002,157716927.47999996,82248674.70999998,516134054.72,201.7073008550955,61.42741900185056,39.64105571847502,42.83445692883897,44.84618902439025,8319137,2742314.700000001,,,154.55,671.35,541,8391.8,59455,39115.25,87.9,3.1000000000000005,,,,,,
2019-02-07,1,2,2019,7,29000.0,1,23.5,,2839,393.9,335.6,4510,,,909,487,3046,57993414.769999996,42317435.86,941884.9800000004,12734093.93,200.03205593550794,52.83953072059648,40.95142361111109,43.82756457564572,46.60218637992828,8406155,2453919,83.4074074074074,97.37037037037037,157.65,711.95,684.2,11818.85,57063.25,40938.4,14.2,,,,86.70370370370371,96.4074074074074,90.5925925925926,15.81888889
2019-10-28,4,10,2019,28,18000.0,1,22.400000000000006,,5007,992.0000000000002,822,5559,99,-25,990,503,3628,307217561.30999994,145354612.52999997,54743299.92999998,100271405.49000001,227.3040043431643,66.22502802105645,39.98500000000006,43.70806451612901,45.75737951807233,9518146.600000001,3108636.9000000004,132.4193548387097,99.83870967741936,177.8333,654.7333,505.5,14832.37,55209.63,40451.47,62.900000000000006,0.6,,,102.258064516129,106.1290322580645,100.8709677419355,14.1516129
2019-10-30,4,10,2019,30,21600.0,1,22.400000000000006,,5007,992.0000000000002,822,5559,99,-25,990,503,3628,307217561.30999994,145354612.52999997,54743299.92999998,100271405.49000001,227.3040043431643,66.22502802105645,39.98500000000006,43.70806451612901,45.75737951807233,9518146.600000001,3108636.9000000004,132.4193548387097,99.83870967741936,177.8333,654.7333,505.5,14832.37,55209.63,40451.47,62.900000000000006,0.6,,,102.258064516129,106.1290322580645,100.8709677419355,14.1516129
2020-01-16,1,1,2020,16,29500.0,1,29.9,3184560.192000001,5094,428.9,342.8,3491,147,29,698,280,2164,7088262,4193188,24000,2871074,187.5179045521156,39.21681235622089,40.10860465116286,43.77243636363634,47.64493464052283,7857085.6,1869477.1,136.5806451612903,153.4838709677419,177.8,639.55,518.75,15481.6,56306,40114.45,39.5,2.4,,61.29032258064516,157.0645161290323,162.1935483870968,161,14.839
2020-01-31,1,1,2020,31,30000.0,1,29.9,3184560.192000001,5094,428.9,342.8,3491,147,29,698,280,2164,7088262,4193188,24000,2871074,187.5179045521156,39.21681235622089,40.10860465116286,43.77243636363634,47.64493464052283,7857085.6,1869477.1,136.5806451612903,153.4838709677419,177.8,639.55,518.75,15481.6,56306,40114.45,39.5,2.4,,61.29032258064516,157.0645161290323,162.1935483870968,161,14.839
