date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-01-22,1,1,2018,22,20000.0,1,25.5,,,519.2,442.2,2786,,,580,332,2158,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476314,55.87226744488125,36.5333333333333,39.81041666666664,39.9754081632653,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-02-15,1,2,2018,15,40000.0,1,25.5,,,519.2,442.2,4057,,,762,471,3037,40553039.599999994,12047547.9,16703581.139999999,11801910.559999999,213.68407951476314,55.87226744488125,36.47398373983739,39.79890109890109,40.12495370370375,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-02-20,1,2,2018,20,25250.0,1,25.5,,,519.2,442.2,4057,,,762,471,3037,40553039.599999994,12047547.9,16703581.139999999,11801910.559999999,213.68407951476314,55.87226744488125,36.47398373983739,39.79890109890109,40.12495370370375,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-02-24,1,2,2018,24,20000.0,1,25.5,,,519.2,442.2,4057,,,762,471,3037,40553039.599999994,12047547.9,16703581.139999999,11801910.559999999,213.68407951476314,55.87226744488125,36.47398373983739,39.79890109890109,40.12495370370375,8150928.2,2239030.4,,,,,,,,,33.2,0.1,,,,,,
2018-04-02,2,4,2018,2,18000.0,1,49.5,,,483.29999999999995,367.8,4906,,,833,498,3639,105135855.71000001,20914529.9,70877119.22,13344206.59,240.317691823201,56.73233817000438,36.82500000000005,40.00406896551723,40.53845637583893,9615700.100000001,2393321.9,,,,,,,,,28.299999999999997,1.0999999999999999,,,,,,
2018-04-09,2,4,2018,9,25250.0,1,49.5,,,483.29999999999995,367.8,4906,,,833,498,3639,105135855.71000001,20914529.9,70877119.22,13344206.59,240.317691823201,56.73233817000438,36.82500000000005,40.00406896551723,40.53845637583893,9615700.100000001,2393321.9,,,,,,,,,28.299999999999997,1.0999999999999999,,,,,,
2018-04-27,2,4,2018,27,30000.0,4,49.5,,,483.29999999999995,367.8,4906,,,833,498,3639,105135855.71000001,20914529.9,70877119.22,13344206.59,240.317691823201,56.73233817000438,36.82500000000005,40.00406896551723,40.53845637583893,9615700.100000001,2393321.9,,,,,,,,,28.299999999999997,1.0999999999999999,,,,,,
2018-05-07,2,5,2018,7,20000.0,1,49.5,,,483.29999999999995,367.8,4737,,,950,548,3437,917395150.7199999,32321229.17,35230086.67999999,849543834.87,240.317691823201,56.73233817000438,38.50184265010348,41.5865324384786,42.28846064814825,9615700.100000001,2393321.9,,,,,,,,,28.299999999999997,1.0999999999999999,,,,,,
2018-05-10,2,5,2018,10,30000.0,1,49.5,,,483.29999999999995,367.8,4737,,,950,548,3437,917395150.7199999,32321229.17,35230086.67999999,849543834.87,240.317691823201,56.73233817000438,38.50184265010348,41.5865324384786,42.28846064814825,9615700.100000001,2393321.9,,,,,,,,,28.299999999999997,1.0999999999999999,,,,,,
2018-05-11,2,5,2018,11,20000.0,1,49.5,,,483.29999999999995,367.8,4737,,,950,548,3437,917395150.7199999,32321229.17,35230086.67999999,849543834.87,240.317691823201,56.73233817000438,38.50184265010348,41.5865324384786,42.28846064814825,9615700.100000001,2393321.9,,,,,,,,,28.299999999999997,1.0999999999999999,,,,,,
