date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2013-01-01,16 999,25 395,18 744,20 257,20 522,19 159
2013-04-01,19 918,34 611,21 539,23 859,23 679,22 004
2013-07-01,20 721,36 790,27 351,26 670,23 850,21 500
2013-10-01,24 337,35 878,33 587,24 780,29 280,25 282
2014-01-01,17 950,29 245,23 199,21 537,22 992,19 385
2014-04-01,22 771,33 950,26 604,25 370,27 075,22 873
2014-07-01,24 423,34 801,29 755,28 283,27 111,23 065
2014-10-01,26 647,41 306,33 330,27 819,30 831,27 051
2015-01-01,20 889,35 235,25 980,22 437,26 043,23 149
2015-04-01,24 548,37 768,28 896,25 412,29 413,24 360
2015-07-01,26 713,37 605,31 802,29 709,29 473,23 050
2015-10-01,31 075,44 175,39 233,31 711,34 902,28 105
2016-01-01,22 313,40 222,28 709,24 402,28 215,21 178
2016-04-01,26 728,40 693,30 802,26 069,30 456,24 168
2016-07-01,27 748,39 346,35 012,31 318,29 077,23 059
2016-10-01,29 774,46 025,37 585,29 550,32 249,26 245
2017-01-01,23 361,38 707,29 105,25 714,27 818,21 990
2017-04-01,26 316,41 479,31 120,26 149,31 157,23 867
2017-07-01,28 427,41 008,36 568,30 006,29 211,23 146
2017-10-01,32 718,49 099,37 209,31 950,32 875,25 747
2018-01-01,23 672,39 368,29 728,25 149,29 160,22 520
2018-04-01,27 400,43 967,31 997,26 854,31 661,24 127
2018-07-01,30 397,45 351,38 201,29 781,29 638,23 421
2018-10-01,34 670,51 432,40 077,33 927,34 815,27 259
2019-01-01,25 198,40 627,29 962,26 619,30 662,22 930
2019-04-01,29 164,48 468,33 669,27 508,33 886,25 713
2019-07-01,32 007,47 192,41 704,31 113,33 037,25 012
2019-10-01,37 028,54 905,41 435,36 977,37 666,27 937
2020-01-01,27 088,42 890,32 751,26 916,32 111,24 132
2020-04-01,27 301,43 514,30 044,26 798,31 473,25 802
2020-07-01,33 337,45 112,42 884,29 203,32 598,25 766
2020-10-01,38 106,57 904,43 842,38 353,38 517,30 527
2021-01-01,27 687,43 843,33 664,27 150,31 648,24 652
2021-04-01,32 619,51 962,37 726,29 244,36 407,27 893
2021-07-01,37 468,54 983,48 934,31 963,38 666,30 117
2021-10-01,41 584,65 224,47 501,41 543,42 824,33 875
2022-01-01,30 925,49 228,37 233,29 907,35 727,27 811
2022-04-01,37361,58453,44301,33790,41839,31858
