year_month,avg_salary,count_in_day,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year,Краснодарский край_Индекс потребительских цен на товары и услуги,Краснодарский край_Индекс промышленного производства (по месяцам),Краснодарский край_Коэффициент ликвидации организаций (по месяцам),Краснодарский край_Коэффициент рождаемости организаций на  организаций по субъектам Российской Федерации,Краснодарский край_Оборот розничной торговли (в % к пред месяцу),Краснодарский край_Объем платных услуг населению,Краснодарский край_Численность зарегистрированных безработных (по месяцам),Краснодарский край_Cреднедушевые денежные доходы,Краснодарский край_Индекс производства продукции сельского хозяйства (поквартально),Краснодарский край_Количество организаций,Краснодарский край_Уровень безработицы (по методологии МОТ),Краснодарский край_Численность безработных (МОТ),Краснодарский край_Численность занятых (по обследованиям),Краснодарский край_Численность принятых работников (по кварталам),Краснодарский край_Численность рабочей силы,Краснодарский край_Численность требуемых работников на вакантные рабочие места,Краснодарский край__ВРП на душу населения,Краснодарский край__Численность населения на  январ,Краснодарский край_Динамика инвестиций в ОК (%),Краснодарский край_Доля инвестиций в ОК к ВРП,Краснодарский край_Индекс физического объема ВРП,Краснодарский край_Количество активных предприятий,Краснодарский край_Количество умерших предприятий,Краснодарский край_Коэффициент миграционного прироста,Краснодарский край_Коэффициент напряженности на рынке труда,Краснодарский край_Наличие основных фондов,Краснодарский край_Показатели предпринимательской активности _акти,Краснодарский край_Показатели предпринимательской активности _рос,Краснодарский край_Показатели предпринимательской активности _уга,Краснодарский край_Потребительские расходы в среднем на душу населения,Краснодарский край_Потребность в работниках,Краснодарский край_Степень износа ОФ,"Краснодарский край_Численность обучающихся (квалиф рабочие, служащие)"
2018-01,49380.0,28.4,1.0,1.0,2018.0,16.5,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.640000002,23377795.5,2685525.49,534.0950031894535,139.19693470413142,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415613,301.67265843621396,2186.279226337449,1504.6311440329218,36971.79239506172,94335.0100329218,94237.3004032922,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0,100.5,97.4,6.2,4.7,70.1,110.1,15457.0,29728.0,101.7,140075.0,156.9,156.9,2645.0,74.0,2801.9,31.4,444364.1,5603.4,97.9,20.6,101.0,107085.0,16878.0,84.56,2.6,6260527.0,107085.0,25271.000000000004,7098.0,31248.0,48599.0,37.3,23072.0
2018-02,48571.428571428565,31.785714285714285,1.0,2.0,2018.0,14.5,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,1150.0,2980.0,56089509.86000001,33562979.38,13706394.869999995,8470135.61,534.0950031894535,139.19693470413142,42.7975,39.4925,39.4825,21978677.0,5494683.0,150.2002732044287,108.44420301415613,301.67265843621396,2186.279226337449,1504.6311440329214,36971.79239506172,94335.0100329218,94237.3004032922,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0,99.99,98.3,9.3,6.2,95.6,108.7,16104.0,29728.0,101.7,140075.0,156.9,156.9,2645.0,74.0,2801.9,31.4,444364.1,5603.4,97.9,20.6,101.0,107085.0,16878.0,84.56000000000002,2.6,6260527.0,107085.0,25271.000000000004,7098.0,31248.0,48599.0,37.3,23072.0
2018-03,44419.354838709674,31.161290322580644,1.0,3.0,2018.0,16.0,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,1256.0,3658.0,94919784.32,28852803.669999994,29730771.71,35951312.99,534.0950031894535,139.19693470413142,42.7525,39.465,39.41,21978677.0,5494683.0,150.2002732044287,108.44420301415613,301.67265843621396,2186.279226337449,1504.6311440329218,36971.79239506172,94335.01003292178,94237.3004032922,33.3,71.21905018158238,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0,100.05,101.5,10.9,6.6,104.9,109.9,15516.0,29728.0,101.7,140075.0,156.9,156.9,2645.0,74.0,2801.9,31.4,444364.1,5603.4,97.9,20.6,101.0,107085.0,16878.0,84.56,2.6,6260527.0,107085.0,25271.000000000004,7098.0,31248.0,48599.0,37.3,23072.0
2018-04,52650.0,32.666666666666664,2.0,4.0,2018.0,15.5,35.7,2267575.7054920928,23150.166908563137,1041.6999999999996,35150.528380634394,1216.0,3496.0,150425886.33999997,46010859.5,90156968.03000002,11230359.549999997,575.8480790082932,265.2602518566354,42.765,39.49750000000001,39.5725,24562080.0,10953480.0,150.2002732044287,108.44420301415613,301.67265843621396,2186.279226337449,1504.6311440329218,36971.79239506172,94335.0100329218,94237.3004032922,31.60000000000001,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0,100.41,108.3,7.8,6.1,95.4,107.8,14856.0,31997.0,102.8,137959.0,145.9,145.9,2629.7,96.1,2775.6,35.5,444364.1,5603.4,97.9,20.6,101.0,107085.0,16878.0,84.56,2.6,6260527.0,107085.0,25271.000000000004,7098.0,31248.0,48599.0,37.3,23072.0
2018-05,44112.90322580645,29.032258064516128,2.0,5.0,2018.0,16.0,35.7,2267575.7054920928,23150.166908563137,1041.6999999999996,35150.528380634394,1177.0,3445.0,248812797.5600001,30661772.879999995,49003052.56999999,168255239.51999995,575.8480790082932,265.2602518566354,44.35249999999999,40.685,41.205,24562080.0,10953480.0,150.2002732044287,108.44420301415613,301.67265843621396,2186.279226337449,1504.6311440329218,36971.79239506172,94335.01003292178,94237.3004032922,31.60000000000001,71.21905018158238,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0,100.42,105.1,6.1,5.2,100.6,111.9,13433.0,31997.0,102.8,137959.0,145.9,145.9,2629.7,96.1,2775.6,35.5,444364.1,5603.4,97.9,20.6,101.0,107085.0,16878.0,84.56,2.6,6260527.0,107085.0,25271.000000000004,7098.0,31248.0,48599.0,37.3,23072.0
2018-06,45937.5,33.2,2.0,6.0,2018.0,15.5,35.7,2267575.7054920928,23150.166908563137,1041.6999999999996,35150.528380634394,1223.0,3566.0,198077560.7,42908993.68999999,53322445.70999997,101105899.65,575.8480790082932,265.2602518566354,46.0375,42.585,43.102500000000006,24562080.0,10953480.0,150.2002732044287,108.44420301415613,301.67265843621396,2186.279226337449,1504.6311440329218,36971.79239506172,94335.0100329218,94237.3004032922,31.60000000000001,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0,100.43,95.5,18.6,6.1,108.7,112.2,12636.0,31997.0,102.8,137959.0,145.9,145.9,2629.7,96.1,2775.6,35.5,444364.1,5603.4,97.9,20.6,101.0,107085.0,16878.0,84.56,2.6,6260527.0,107085.0,25271.000000000004,7098.0,31248.0,48599.0,37.3,23072.0
2018-07,56214.1129032258,38.967741935483865,3.0,7.0,2018.0,16.0,17.599999999999994,2267575.7054920928,23150.166908563137,1787.0,35150.528380634394,1342.0,3584.0,135633540.82000005,58973916.44,64418313.25999999,10805344.029999973,895.2707122127154,277.6216396971211,46.23,42.8125,43.34,39716820.0,12038137.0,150.2002732044287,108.44420301415613,301.67265843621396,2186.279226337449,1504.6311440329218,36971.79239506172,94335.01003292178,94237.3004032922,31.099999999999994,71.21905018158238,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0,100.13,100.5,8.9,5.8,114.6,114.7,12328.0,38201.0,95.2,136164.0,137.5,137.5,2694.0,89.03802816901405,2831.6,34.9,444364.1,5603.4,97.9,20.6,101.0,107085.0,16878.0,84.56,2.6,6260527.0,107085.0,25271.000000000004,7098.0,31248.0,48599.0,37.3,23072.0
2018-08,47295.161290322576,34.645161290322584,3.0,8.0,2018.0,16.0,17.599999999999994,2267575.7054920928,23150.166908563137,1787.0,35150.528380634394,1439.0,3899.0,234006716.34000003,75736547.19,126234363.3,31720142.97000003,895.2707122127154,277.6216396971211,46.19500000000001,42.6275,43.605,39716820.0,12038137.0,150.2002732044287,108.44420301415613,301.67265843621396,2186.279226337449,1504.6311440329218,36971.79239506172,94335.01003292178,94237.3004032922,31.099999999999994,71.21905018158238,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0,100.32,95.9,12.9,6.0,112.0,110.3,12409.0,38201.0,95.2,136164.0,137.5,137.5,2694.0,89.03802816901405,2831.6,34.9,444364.1,5603.4,97.9,20.6,101.0,107085.0,16878.0,84.56,2.6,6260527.0,107085.0,25271.000000000004,7098.0,31248.0,48599.0,37.3,23072.0
2018-09,46640.83333333334,33.03333333333333,3.0,9.0,2018.0,15.5,17.599999999999987,2267575.7054920928,23150.166908563137,1787.0,35150.528380634394,1449.0,3884.0,446930571.8999999,82317403.36,139486255.24000007,221981954.1,895.2707122127154,277.6216396971211,45.8675,42.445,43.14,39716820.0,12038137.0,150.2002732044287,108.44420301415613,301.67265843621396,2186.279226337449,1504.6311440329218,36971.79239506172,94335.0100329218,94237.3004032922,31.09999999999999,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0,100.29,98.0,8.6,5.7,96.9,110.6,12258.0,38201.0,95.2,136164.0,137.5,137.5,2694.0,89.03802816901405,2831.6,34.9,444364.1,5603.4,97.9,20.6,101.0,107085.0,16878.0,84.56,2.6,6260527.0,107085.0,25271.000000000004,7098.0,31248.0,48599.0,37.3,23072.0
2018-10,48580.64516129033,36.774193548387096,4.0,10.0,2018.0,16.0,32.89999999999999,2267575.7054920928,23150.166908563137,2693.9,35150.528380634394,1539.0,4218.0,536540523.1100001,83179801.19999999,384166859.52,68737380.38999999,942.4571331713656,280.1140347159343,45.96,42.5025,43.06999999999999,41701372.0,12116566.0,150.2002732044287,108.44420301415613,248.0,1033.3,591.6,28802.5,81061.1,63437.1,56.30000000000001,71.21905018158238,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0,100.16,95.5,6.5,6.8,90.8,110.0,11877.0,40077.0,88.6,135825.0,141.2,141.2,2739.0,85.5,2880.2,30.9,444364.1,5603.4,97.9,20.6,101.0,107085.0,16878.0,84.56,2.6,6260527.0,107085.0,25271.000000000004,7098.0,31248.0,48599.0,37.3,23072.0
