year_month,avg_salary,count_in_day,quarter,month,year,split,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Нижегородская область_Индекс потребительских цен на товары и услуги,Нижегородская область_Индекс промышленного производства (по месяцам),Нижегородская область_Коэффициент ликвидации организаций (по месяцам),Нижегородская область_Коэффициент рождаемости организаций на  организаций по субъектам Российской Федерации,Нижегородская область_Оборот розничной торговли (в % к пред месяцу),Нижегородская область_Объем платных услуг населению,Нижегородская область_Численность зарегистрированных безработных (по месяцам),Нижегородская область_Cреднедушевые денежные доходы,Нижегородская область_Индекс производства продукции сельского хозяйства (поквартально),Нижегородская область_Количество организаций,Нижегородская область_Уровень безработицы (по методологии МОТ),Нижегородская область_Численность безработных (МОТ),Нижегородская область_Численность занятых (по обследованиям),Нижегородская область_Численность принятых работников (по кварталам),Нижегородская область_Численность рабочей силы,Нижегородская область_Численность требуемых работников на вакантные рабочие места,Нижегородская область__ВРП на душу населения,Нижегородская область__Численность населения на  январ,Нижегородская область_Динамика инвестиций в ОК (%),Нижегородская область_Доля инвестиций в ОК к ВРП,Нижегородская область_Индекс физического объема ВРП,Нижегородская область_Количество активных предприятий,Нижегородская область_Количество умерших предприятий,Нижегородская область_Коэффициент миграционного прироста,Нижегородская область_Коэффициент напряженности на рынке труда,Нижегородская область_Наличие основных фондов,Нижегородская область_Показатели предпринимательской активности _акти,Нижегородская область_Показатели предпринимательской активности _рос,Нижегородская область_Показатели предпринимательской активности _уга,Нижегородская область_Потребительские расходы в среднем на душу населения,Нижегородская область_Потребность в работниках,Нижегородская область_Степень износа ОФ,"Нижегородская область_Численность обучающихся (квалиф рабочие, служащие)"
2018-01,38681.66666666666,14.066666666666665,1.0,1.0,2018.0,16.3,1642819.0127077226,2667.5929203539818,808.9,453.5,2794.0,34390.90378006873,799.0,383.0,1644.0,22748116.11,1472812.3300000003,13511438.69,7676613.09,277.1938641344047,99.29204526262457,40.22,37.36,39.47,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.1053823529412,118.84695475113121,86.30246380090496,17.02963142417044,100.48,103.0,9.8,5.5,86.0,100.2,7688.0,29160.0,98.9,93361.0,74.8,74.8,1687.3,40.7,1762.1,21.0,465830.1,3234.8,103.0,17.3,102.1,73756.0,10717.0,-11.57,2.2,3068010.0,73756.0,18382.0,4030.0,25998.0,30702.0,50.2,10622.0
2018-02,38794.642857142855,19.25,1.0,2.0,2018.0,14.5,1642819.0127077226,2667.5929203539818,808.9,453.5,4078.0,34390.90378006873,1036.0,534.0,2444.0,56083602.55,13221913.37,33879275.53,8902572.65,277.1938641344047,99.29204526262457,40.26,37.32,39.51,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.1053823529412,118.84695475113121,86.30246380090496,17.02963142417044,100.31000000000002,109.1,12.7,7.7,97.3,102.1,7732.0,29160.0,98.9,93361.0,74.8,74.8,1687.3,40.7,1762.1,21.0,465830.1,3234.8,103.0,17.3,102.1,73756.0,10717.0,-11.570000000000002,2.2,3068010.0,73756.0,18382.0,4030.0,25998.0,30702.0,50.2,10622.0
2018-03,40725.8064516129,19.096774193548384,1.0,3.0,2018.0,16.0,1642819.0127077226,2667.5929203539818,808.9,453.5,4717.0,34390.90378006873,1153.0,587.0,2756.0,70844837.80000001,4283859.43,49276667.52,17214929.85,277.1938641344047,99.29204526262457,40.26,37.31,39.44,10751888.0,3919388.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294122,118.84695475113121,86.30246380090496,17.02963142417044,100.52,103.2,11.7,7.3,109.8,100.6,7505.0,29160.0,98.9,93361.0,74.8,74.8,1687.3,40.7,1762.1,21.0,465830.1,3234.8,103.0,17.3,102.1,73756.0,10717.0,-11.57,2.2,3068010.0,73756.0,18382.0,4030.0,25998.0,30702.0,50.2,10622.0
2018-04,44666.66666666666,17.533333333333335,2.0,4.0,2018.0,15.5,1642819.0127077226,2667.5929203539818,494.00000000000017,423.3,5031.0,34390.90378006873,1203.0,587.0,2941.0,73906458.47,5591061.23,32789082.719999995,34245297.52,290.5653203172667,106.7637418013118,40.52,37.57,39.86,11905914.0,4449201.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.1053823529412,118.84695475113121,86.30246380090496,17.02963142417044,100.51,102.6,9.0,7.5,98.3,101.7,7068.0,31661.0,101.8,92061.0,73.6,73.6,1687.2,46.0,1760.8,22.8,465830.1,3234.8,103.0,17.3,102.1,73756.0,10717.0,-11.57,2.2,3068010.0,73756.0,18382.0,4030.0,25998.0,30702.0,50.2,10622.0
2018-05,37566.93548387097,17.06451612903226,2.0,5.0,2018.0,16.0,1642819.0127077226,2667.5929203539818,494.00000000000017,423.3,4688.0,34390.90378006873,1133.0,580.0,2647.0,64377895.46999997,5405996.719999999,22721618.04000001,35599152.70999999,290.5653203172667,106.7637418013118,42.46,39.63,41.87,11905914.0,4449201.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294122,118.84695475113121,86.30246380090496,17.02963142417044,100.17,104.3,6.9,4.8,105.6,103.3,6897.0,31661.0,101.8,92061.0,73.6,73.6,1687.2,46.0,1760.8,22.8,465830.1,3234.8,103.0,17.3,102.1,73756.0,10717.0,-11.57,2.2,3068010.0,73756.0,18382.0,4030.0,25998.0,30702.0,50.2,10622.0
2018-06,39648.333333333336,16.4,2.0,6.0,2018.0,15.5,1642819.0127077226,2667.5929203539818,494.00000000000017,423.3,4619.0,34390.90378006873,995.0,492.0,2533.0,192255624.88,9888152.050000004,61952939.47,119470218.36,290.5653203172667,106.7637418013118,44.05,41.62,43.29,11905914.0,4449201.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.1053823529412,118.84695475113121,86.30246380090496,17.02963142417044,100.86,103.1,16.5,6.6,102.1,100.2,6540.0,31661.0,101.8,92061.0,73.6,73.6,1687.2,46.0,1760.8,22.8,465830.1,3234.8,103.0,17.3,102.1,73756.0,10717.0,-11.57,2.2,3068010.0,73756.0,18382.0,4030.0,25998.0,30702.0,50.2,10622.0
2018-07,40322.58064516129,18.322580645161292,3.0,7.0,2018.0,16.0,1642819.0127077226,2667.5929203539818,555.1999999999998,393.3,4425.0,34390.90378006873,896.0,483.0,2544.0,139292858.94000003,11161254.18,86860886.72,37308696.53999999,289.69945497630334,102.56130680498569,43.64,40.73,42.99,12225317.0,4415948.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294122,118.84695475113121,86.30246380090496,17.02963142417044,100.44,99.6,4.3,6.2,96.4,99.8,6434.0,29638.0,97.8,91131.0,70.9,70.9,1686.2,49.42415940224159,1757.1,22.6,465830.1,3234.8,103.0,17.3,102.1,73756.0,10717.0,-11.57,2.2,3068010.0,73756.0,18382.0,4030.0,25998.0,30702.0,50.2,10622.0
2018-08,39290.32258064516,19.032258064516128,3.0,8.0,2018.0,16.0,1642819.0127077226,2667.5929203539818,555.1999999999998,393.3,4795.0,34390.90378006873,1214.0,571.0,2712.0,153028608.70999992,19510151.489999995,102702016.05,30691191.11999997,289.69945497630334,102.56130680498569,43.75,40.71,43.08,12225317.0,4415948.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294122,118.84695475113121,86.30246380090496,17.02963142417044,99.77,108.2,13.5,5.5,100.6,99.5,6469.0,29638.0,97.8,91131.0,70.9,70.9,1686.2,49.42415940224159,1757.1,22.6,465830.1,3234.8,103.0,17.3,102.1,73756.0,10717.0,-11.57,2.2,3068010.0,73756.0,18382.0,4030.0,25998.0,30702.0,50.2,10622.0
2018-09,40625.0,20.4,3.0,9.0,2018.0,15.5,1642819.0127077226,2667.5929203539818,555.1999999999997,393.3,4914.0,34390.90378006873,1219.0,571.0,2726.0,139920993.7700001,30621060.25,71442892.68,37745343.84000003,289.69945497630334,102.56130680498569,43.7,40.67,43.1,12225317.0,4415948.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.1053823529412,118.84695475113121,86.30246380090496,17.02963142417044,100.15,102.0,9.3,5.5,95.4,98.5,6170.0,29638.0,97.8,91131.0,70.9,70.9,1686.2,49.42415940224159,1757.1,22.6,465830.1,3234.8,103.0,17.3,102.1,73756.0,10717.0,-11.57,2.2,3068010.0,73756.0,18382.0,4030.0,25998.0,30702.0,50.2,10622.0
2018-10,41419.354838709674,18.0,4.0,10.0,2018.0,16.0,1642819.0127077226,2667.5929203539818,792.7000000000003,689.8000000000003,5509.0,34390.90378006873,1281.0,627.0,3009.0,726714013.8,38496672.42999999,133688961.23999996,553294524.1299999,290.13619055142993,115.64735807695213,43.77,40.69,43.27,12241813.0,5099663.0,133.34485671191553,101.43804600301658,6.731029529130088,68.57004887585533,126.10538235294122,118.84695475113121,86.30246380090496,17.02963142417044,100.5,91.9,14.2,6.5,103.9,99.1,6007.0,34815.0,100.6,88896.0,73.2,73.2,1687.1,48.3,1760.3,20.3,465830.1,3234.8,103.0,17.3,102.1,73756.0,10717.0,-11.57,2.2,3068010.0,73756.0,18382.0,4030.0,25998.0,30702.0,50.2,10622.0
