year_month,avg_salary,count_in_day,quarter,month,year,split,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Республика Башкортостан_Индекс потребительских цен на товары и услуги,Республика Башкортостан_Индекс промышленного производства (по месяцам),Республика Башкортостан_Коэффициент ликвидации организаций (по месяцам),Республика Башкортостан_Коэффициент рождаемости организаций на организаций по субъектам Российской Федерации,Республика Башкортостан_Оборот розничной торговли (в % к пред месяцу),Республика Башкортостан_Объем платных услуг населению,Республика Башкортостан_Численность зарегистрированных безработных (по месяцам),Республика Башкортостан_Cреднедушевые денежные доходы,Республика Башкортостан_Индекс производства продукции сельского хозяйства (поквартально),Республика Башкортостан_Количество организаций,Республика Башкортостан_Уровень безработицы (по методологии МОТ),Республика Башкортостан_Численность безработных (МОТ),Республика Башкортостан_Численность занятых (по обследованиям),Республика Башкортостан_Численность принятых работников (по кварталам),Республика Башкортостан_Численность рабочей силы,Республика Башкортостан_Численность требуемых работников на вакантные рабочие места,Республика Башкортостан__ВРП на душу населения,Республика Башкортостан__Численность населения на январ,Республика Башкортостан_Динамика инвестиций в ОК (%),Республика Башкортостан_Доля инвестиций в ОК к ВРП,Республика Башкортостан_Индекс физического объема ВРП,Республика Башкортостан_Количество активных предприятий,Республика Башкортостан_Количество умерших предприятий,Республика Башкортостан_Коэффициент миграционного прироста,Республика Башкортостан_Коэффициент напряженности на рынке труда,Республика Башкортостан_Наличие основных фондов,Республика Башкортостан_Показатели предпринимательской активности _акти,Республика Башкортостан_Показатели предпринимательской активности _рос,Республика Башкортостан_Показатели предпринимательской активности _уга,Республика Башкортостан_Потребительские расходы в среднем на душу населения,Республика Башкортостан_Потребность в работниках,Республика Башкортостан_Степень износа ОФ,"Республика Башкортостан_Численность обучающихся (квалиф рабочие, служащие)"
2018-01,34922.32142857143,14.285714285714285,1.0,1.0,2018.0,17.5,2132567.90921519,7933.062684365783,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.60714753205036,88.95439893854096,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.7612427002786,128.13426617891568,240.3531094619665,1334.434843922652,1194.006535842541,23577.637443370168,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908884,15.676822336453315,100.07,101.6,15.8,6.7,70.9,98.5,21441.0,25149.0,99.5,82031.0,105.4,105.4,1849.9,41.8,1955.3,12.9,428715.6,4063.3,92.4,15.4,103.2,62756.0,7759.0,-21.83,2.1,3380216.0,62756.0,11046.0,2759.0,25043.0,42943.0,48.8,27744.0
2018-02,38241.07142857143,16.0,1.0,2.0,2018.0,14.5,2132567.90921519,7933.062684365783,517.0,385.0,6139.0,1542.0,848.0,3794.0,17006466.0,7289861.119999999,7280470.700000001,2436134.88,305.60714753205036,88.95439893854096,37.17012195121948,40.17804878048776,40.253977272727326,11828326.0,3583377.0,156.7612427002786,128.13426617891568,240.3531094619665,1334.434843922652,1194.006535842541,23577.637443370168,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908884,15.676822336453315,100.36,99.1,9.0,9.4,90.7,99.6,22500.0,25149.0,99.5,82031.0,105.4,105.4,1849.9,41.8,1955.3,12.9,428715.6,4063.3,92.4,15.4,103.2,62756.0,7759.0,-21.83,2.1,3380216.0,62756.0,11046.0,2759.0,25043.0,42943.0,48.8,27744.0
2018-03,42353.44827586207,17.24137931034483,1.0,3.0,2018.0,15.89655172413793,2132567.90921519,7933.062684365783,517.0,385.0,7403.0,1921.0,1038.0,4456.0,29012625.0,16549946.239999998,9766882.509999998,2695796.1,305.60714753205036,88.95439893854096,37.19629629629626,40.19756097560969,40.30123456790129,11828326.0,3583377.0,156.7612427002786,128.13426617891568,240.3531094619665,1334.434843922652,1194.006535842541,23577.637443370168,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.3952821276751,101.06803813908886,15.676822336453315,100.22,98.7,8.8,9.0,100.3,99.3,21841.0,25149.0,99.5,82031.0,105.4,105.4,1849.9,41.8,1955.3,12.9,428715.6,4063.3,92.4,15.4,103.2,62756.0,7759.0,-21.83,2.1,3380216.0,62756.0,11046.0,2759.0,25043.0,42943.0,48.8,27744.0
2018-04,40858.333333333336,16.233333333333334,2.0,4.0,2018.0,15.5,2132567.90921519,7933.062684365783,576.9000000000002,543.6,7391.0,1976.0,1069.0,4498.0,49559908.0,21534903.0,24547721.35,3436433.5200000005,350.9920156031881,93.9516935426292,37.73409090909101,40.23355263157894,40.73386727688785,14139282.0,3951184.0,156.7612427002786,128.13426617891568,240.3531094619665,1334.434843922652,1194.006535842541,23577.637443370168,74414.83040745856,71560.84674723758,17.6,6.899999999999998,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315,100.29,99.4,4.4,9.0,97.0,101.9,21212.0,26854.0,98.2,82148.0,93.6,93.6,1874.0,46.9,1967.6,14.4,428715.6,4063.3,92.4,15.4,103.2,62756.0,7759.0,-21.83,2.1,3380216.0,62756.0,11046.0,2759.0,25043.0,42943.0,48.8,27744.0
2018-05,40282.258064516136,16.387096774193548,2.0,5.0,2018.0,16.0,2132567.90921519,7933.062684365783,576.9000000000002,543.6,7170.0,1823.0,979.0,4256.0,128000000.0,59243570.04,65567262.15,2954148.02,350.9920156031881,93.9516935426292,38.846234177215,41.385463743676226,41.90876427132275,14139282.0,3951184.0,156.7612427002786,128.13426617891568,240.3531094619665,1334.434843922652,1194.006535842541,23577.637443370168,74414.83040745856,71560.84674723758,17.6,6.899999999999999,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315,100.24,97.8,6.8,7.0,104.3,100.8,19869.0,26854.0,98.2,82148.0,93.6,93.6,1874.0,46.9,1967.6,14.4,428715.6,4063.3,92.4,15.4,103.2,62756.0,7759.0,-21.83,2.1,3380216.0,62756.0,11046.0,2759.0,25043.0,42943.0,48.8,27744.0
2018-06,36516.66666666666,14.2,2.0,6.0,2018.0,15.5,2132567.90921519,7933.062684365783,576.9000000000002,543.6,6958.0,1874.0,992.0,4115.0,206000000.0,17300631.24000001,115678757.01,72857504.78,350.9920156031881,93.9516935426292,40.36548672566376,43.137798165137646,43.52382222222222,14139282.0,3951184.0,156.7612427002786,128.13426617891568,240.3531094619665,1334.434843922652,1194.006535842541,23577.637443370168,74414.83040745856,71560.84674723758,17.6,6.899999999999998,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315,100.53,111.2,9.5,6.8,104.7,96.4,19314.0,26854.0,98.2,82148.0,93.6,93.6,1874.0,46.9,1967.6,14.4,428715.6,4063.3,92.4,15.4,103.2,62756.0,7759.0,-21.83,2.1,3380216.0,62756.0,11046.0,2759.0,25043.0,42943.0,48.8,27744.0
2018-07,39258.06451612903,17.129032258064516,3.0,7.0,2018.0,16.0,2132567.90921519,7933.062684365783,680.8,611.8000000000002,7644.0,2136.0,1125.0,4515.0,370000000.0,65909509.68000001,230016108.34000003,74631216.35000001,421.58586724085023,133.7836220213708,41.99,43.43636363636363,45.09625000000002,17786793.0,5941642.0,156.7612427002786,128.13426617891568,240.3531094619665,1334.434843922652,1194.006535842541,23577.637443370168,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315,100.46,101.0,4.7,7.7,115.8,100.6,19152.0,29781.0,95.1,82496.0,95.5,95.5,1868.5,49.055666251556644,1964.0,15.0,428715.6,4063.3,92.4,15.4,103.2,62756.0,7759.0,-21.83,2.1,3380216.0,62756.0,11046.0,2759.0,25043.0,42943.0,48.8,27744.0
2018-08,36595.16129032258,16.096774193548384,3.0,8.0,2018.0,16.0,2132567.90921519,7933.062684365783,680.8,611.8000000000002,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.58586724085023,133.7836220213708,40.250000000000036,43.26341463414639,44.470731707317036,17786793.0,5941642.0,156.7612427002786,128.13426617891568,240.3531094619665,1334.434843922652,1194.006535842541,23577.637443370168,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315,99.88,110.0,5.9,7.7,108.4,102.9,18747.0,29781.0,95.1,82496.0,95.5,95.5,1868.5,49.055666251556644,1964.0,15.0,428715.6,4063.3,92.4,15.4,103.2,62756.0,7759.0,-21.83,2.1,3380216.0,62756.0,11046.0,2759.0,25043.0,42943.0,48.8,27744.0
2018-09,38362.06896551724,16.482758620689655,3.0,9.0,2018.0,15.758620689655173,2132567.90921519,7933.062684365783,680.8,611.8000000000002,7781.0,2311.0,1162.0,4397.0,460000000.0,130949163.52,321882878.24,1851369.170000017,421.58586724085023,133.7836220213708,40.790747663551436,43.410687500000066,43.67,17786793.0,5941642.0,156.7612427002786,128.13426617891568,240.3531094619665,1334.434843922652,1194.006535842541,23577.637443370168,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.3952821276751,101.06803813908886,15.676822336453315,100.25,97.7,6.7,7.1,109.2,101.5,18300.0,29781.0,95.1,82496.0,95.5,95.5,1868.5,49.055666251556644,1964.0,15.0,428715.6,4063.3,92.4,15.4,103.2,62756.0,7759.0,-21.83,2.1,3380216.0,62756.0,11046.0,2759.0,25043.0,42943.0,48.8,27744.0
2018-10,40991.93548387097,14.580645161290322,4.0,10.0,2018.0,16.0,2132567.90921519,7933.062684365783,1310.7,1164.1,9239.0,2796.0,1347.0,5032.0,320000000.0,117445347.64,111335932.97000004,95702527.69,425.2252285612906,86.61213877384041,42.338753412482035,43.3,47.0168708917154,17724731.0,3960337.0,156.7612427002786,128.13426617891568,265.05,787.6,653.75,21659.1,34332.8,59985.4,33.20000000000002,13.1,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315,100.45,88.5,17.9,9.3,104.4,100.4,17832.0,33927.0,108.9,81538.0,89.5,89.5,1844.8,47.9,1934.3,14.6,428715.6,4063.3,92.4,15.4,103.2,62756.0,7759.0,-21.83,2.1,3380216.0,62756.0,11046.0,2759.0,25043.0,42943.0,48.8,27744.0
