year_month,avg_salary,count_in_day,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Челябинская область_Индекс потребительских цен на товары и услуги,Челябинская область_Индекс промышленного производства (по месяцам),Челябинская область_Коэффициент ликвидации организаций (по месяцам),Челябинская область_Коэффициент рождаемости организаций на  организаций по субъектам Российской Федерации,Челябинская область_Оборот розничной торговли (в % к пред месяцу),Челябинская область_Объем платных услуг населению,Челябинская область_Численность зарегистрированных безработных (по месяцам),Челябинская область_Cреднедушевые денежные доходы,Челябинская область_Индекс производства продукции сельского хозяйства (поквартально),Челябинская область_Количество организаций,Челябинская область_Уровень безработицы (по методологии МОТ),Челябинская область_Численность безработных (МОТ),Челябинская область_Численность занятых (по обследованиям),Челябинская область_Численность принятых работников (по кварталам),Челябинская область_Численность рабочей силы,Челябинская область_Численность требуемых работников на вакантные рабочие места,Челябинская область__ВРП на душу населения,Челябинская область__Численность населения на  январ,Челябинская область_Динамика инвестиций в ОК (%),Челябинская область_Доля инвестиций в ОК к ВРП,Челябинская область_Индекс физического объема ВРП,Челябинская область_Количество активных предприятий,Челябинская область_Количество умерших предприятий,Челябинская область_Коэффициент миграционного прироста,Челябинская область_Коэффициент напряженности на рынке труда,Челябинская область_Наличие основных фондов,Челябинская область_Показатели предпринимательской активности _акти,Челябинская область_Показатели предпринимательской активности _рос,Челябинская область_Показатели предпринимательской активности _уга,Челябинская область_Потребительские расходы в среднем на душу населения,Челябинская область_Потребность в работниках,Челябинская область_Степень износа ОФ,"Челябинская область_Численность обучающихся (квалиф рабочие, служащие)"
2018-01,37145.16129032258,16.032258064516128,1.0,1.0,2018.0,16.0,25.5,2941454.63370676,4849.364864864865,519.2,442.2,2786.0,580.0,332.0,2158.0,4864651.48,3325773.33,525694.19,1013183.96,213.68407951476317,55.872267444881246,36.533333333333296,39.81041666666664,39.97540816326529,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.2475128873241,54877.81695774649,43125.822669014095,33.2,66.98909575546352,145.2945233092619,133.80310631874156,100.13337347199415,15.552371041363985,100.36,112.4,12.6,3.9,79.3,101.4,26069.0,22520.0,96.4,96729.0,108.1,108.1,1768.1,45.8,1876.2,17.3,436611.1,3493.0,123.3,16.8,101.0,77280.0,11800.0,-25.69,3.9,3237476.0,77280.0,8041.0,2394.0,18237.0,20136.0,48.4,13759.0
2018-02,39769.230769230766,16.115384615384613,1.0,2.0,2018.0,14.538461538461537,25.5,2941454.63370676,4849.364864864865,519.2,442.19999999999993,4057.0,762.0,471.0,3037.0,40553039.6,12047547.900000002,16703581.14,11801910.56,213.68407951476317,55.872267444881246,36.47398373983739,39.7989010989011,40.12495370370375,8150928.200000001,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.2475128873241,54877.81695774649,43125.822669014095,33.2,66.98909575546352,145.2945233092619,133.80310631874156,100.13337347199415,15.552371041363985,100.25,103.6,7.4,5.9,95.9,101.4,26892.0,22520.0,96.4,96729.0,108.1,108.1,1768.1,45.8,1876.2000000000005,17.3,436611.1,3493.0,123.29999999999998,16.8,101.0,77280.0,11800.0,-25.69,3.9,3237476.0,77280.0,8041.0,2394.0,18237.0,20136.0,48.39999999999999,13759.0
2018-03,38294.354838709674,15.870967741935484,1.0,3.0,2018.0,16.0,25.5,2941454.63370676,4849.364864864865,519.2,442.2,4986.0,969.0,528.0,3497.0,65710155.32000001,11444906.62,44993166.99,9272081.71,213.68407951476317,55.872267444881246,36.47098039215682,39.78095238095241,40.121914893617074,8150928.2,2239030.4,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.2475128873241,54877.81695774649,43125.822669014095,33.2,66.98909575546352,145.2945233092619,133.80310631874156,100.13337347199415,15.552371041363985,100.22,100.9,10.4,4.6,104.6,102.7,26796.0,22520.0,96.4,96729.0,108.1,108.1,1768.1,45.8,1876.2,17.3,436611.1,3493.0,123.3,16.8,101.0,77280.0,11800.0,-25.69,3.9,3237476.0,77280.0,8041.0,2394.0,18237.0,20136.0,48.4,13759.0
2018-04,36025.0,13.3,2.0,4.0,2018.0,15.5,49.5,2941454.63370676,4849.364864864865,483.3,367.8,4906.0,833.0,498.0,3639.0,105135855.71,20914529.9,70877119.22,13344206.59,240.317691823201,56.73233817000439,36.825000000000045,40.00406896551723,40.538456375838926,9615700.1,2393321.9,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.2475128873241,54877.81695774649,43125.822669014095,28.3,66.98909575546352,145.2945233092619,133.80310631874156,100.13337347199415,15.552371041363985,100.21,102.1,14.3,5.8,101.8,106.2,25464.0,24127.0,99.9,95379.0,106.2,106.2,1771.0,51.3,1877.2,19.8,436611.1,3493.0,123.3,16.8,101.0,77280.0,11800.0,-25.69,3.9,3237476.0,77280.0,8041.0,2394.0,18237.0,20136.0,48.4,13759.0
2018-05,34177.41935483871,15.774193548387096,2.0,5.0,2018.0,16.0,49.5,2941454.63370676,4849.364864864865,483.3,367.8,4737.0,950.0,548.0,3437.0,917395150.72,32321229.17,35230086.67999999,849543834.87,240.317691823201,56.73233817000439,38.50184265010348,41.586532438478606,42.28846064814825,9615700.1,2393321.9,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.2475128873241,54877.81695774649,43125.822669014095,28.3,66.98909575546352,145.2945233092619,133.80310631874156,100.13337347199415,15.552371041363985,100.2,101.8,6.2,4.3,103.2,107.2,23012.0,24127.0,99.9,95379.0,106.2,106.2,1771.0,51.3,1877.2,19.8,436611.1,3493.0,123.3,16.8,101.0,77280.0,11800.0,-25.69,3.9,3237476.0,77280.0,8041.0,2394.0,18237.0,20136.0,48.4,13759.0
2018-06,36087.5,15.733333333333333,2.0,6.0,2018.0,15.5,49.5,2941454.63370676,4849.364864864865,483.3,367.8,4955.0,884.0,490.0,3657.0,429460605.47,33640460.17,9610179.72999999,386209965.56999993,240.317691823201,56.73233817000439,39.98639053254442,43.17087719298244,43.731690140845004,9615700.1,2393321.9,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.2475128873241,54877.81695774649,43125.822669014095,28.3,66.98909575546352,145.2945233092619,133.80310631874156,100.13337347199415,15.552371041363985,100.55,99.6,7.6,4.3,101.6,104.6,21580.0,24127.0,99.9,95379.0,106.2,106.2,1771.0,51.3,1877.2,19.8,436611.1,3493.0,123.3,16.8,101.0,77280.0,11800.0,-25.69,3.9,3237476.0,77280.0,8041.0,2394.0,18237.0,20136.0,48.4,13759.0
2018-07,38023.6129032258,16.129032258064516,3.0,7.0,2018.0,16.0,65.9,2941454.63370676,4849.364864864865,708.0999999999997,426.40000000000015,4725.0,854.0,487.0,3426.0,138164641.27999997,73054043.16999999,18107227.27000001,47003370.83999992,389.9248368478608,70.9832431281098,39.668817204301035,42.917621145374454,43.5364406779661,16090326.900000002,3089029.3,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.2475128873241,54877.81695774649,43125.822669014095,42.90000000000001,66.98909575546352,145.2945233092619,133.80310631874156,100.13337347199415,15.552371041363985,100.33,98.0,4.8,4.8,104.3,108.0,20891.0,23421.0,93.7,94750.0,103.7,103.7,1771.0,52.020113851992406,1874.7,20.9,436611.1,3493.0,123.3,16.8,101.0,77280.0,11800.0,-25.69,3.9,3237476.0,77280.0,8041.0,2394.0,18237.0,20136.0,48.4,13759.0
2018-08,37533.596774193546,15.290322580645164,3.0,8.0,2018.0,16.0,65.9,2941454.63370676,4849.364864864865,708.0999999999997,426.40000000000015,5393.0,1180.0,650.0,3811.0,231231769.6600001,79365520.30000001,24908125.629999995,126958123.73000002,389.9248368478608,70.9832431281098,39.62999999999995,42.86944444444444,43.521428571428565,16090326.900000002,3089029.3,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.2475128873241,54877.81695774649,43125.822669014095,42.90000000000001,66.98909575546352,145.2945233092619,133.80310631874156,100.13337347199415,15.552371041363985,100.2,96.6,8.6,4.4,100.4,104.6,20712.0,23421.0,93.7,94750.0,103.7,103.7,1771.0,52.020113851992406,1874.7,20.9,436611.1,3493.0,123.3,16.8,101.0,77280.0,11800.0,-25.69,3.9,3237476.0,77280.0,8041.0,2394.0,18237.0,20136.0,48.4,13759.0
2018-09,38238.333333333336,16.533333333333335,3.0,9.0,2018.0,15.5,65.9,2941454.63370676,4849.364864864865,708.0999999999997,426.40000000000015,4981.0,1051.0,593.0,3477.0,232243923.2299997,104114828.67000002,24413013.77000001,103716080.78999996,389.9248368478608,70.9832431281098,39.64146258503398,42.86386266094421,43.49530769230771,16090326.900000002,3089029.3,127.86912460052616,113.52621231115114,262.6702483098592,661.1672706338029,690.2475128873241,54877.81695774649,43125.822669014095,42.90000000000001,66.98909575546352,145.2945233092619,133.80310631874156,100.13337347199415,15.552371041363985,99.94,98.5,5.9,3.6,96.0,105.1,19981.0,23421.0,93.7,94750.0,103.7,103.7,1771.0,52.020113851992406,1874.7,20.9,436611.1,3493.0,123.3,16.8,101.0,77280.0,11800.0,-25.69,3.9,3237476.0,77280.0,8041.0,2394.0,18237.0,20136.0,48.4,13759.0
2018-10,39081.89655172414,11.551724137931034,4.0,10.0,2018.0,16.17241379310345,30.0,2941454.63370676,4849.364864864865,1164.1,980.6,5787.0,1236.0,684.0,3996.0,208014121.0900001,107230517.59999996,51237372.30000001,49546231.19000006,201.70730085509547,61.427419001850566,39.656569343065655,42.852995391705065,43.56050420168066,8319137.0,2742314.700000001,127.86912460052616,113.52621231115114,165.15,698.85,713.85,63086.0,38310.6,87.9,66.98909575546352,145.2945233092619,133.80310631874156,100.13337347199415,15.552371041363985,100.2,100.6,11.8,4.9,101.4,103.9,19450.0,27259.0,100.7,89244.0,103.3,103.3,1768.3,51.9,1871.6,19.8,436611.1,3493.0,123.3,16.8,101.0,77280.0,11800.0,-25.69,3.9,3237476.0,77280.0,8041.0,2394.0,18237.0,20136.0,48.4,13759.0
