date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2019-12-10,4,12,2019,10,55000.0,3,350,10290894.937000005,28912,6065.4,3954.7999999999993,31600,2557,827,10733,2702,9058,3376616267.0599995,781823855.29,1633241262.5100002,948736256.2300005,719.4232426976205,402.16788006912765,41.59443006777568,45.62239321608026,46.29982162764787,31371629.200000003,18419593.5,95.64516129032258,96.38709677419355,1022.2,825,327.5,72253.75,75046,26207.45,960.8,41.599999999999994,,73.03226,127.2903225806452,110.4193548387097,99.90322580645162,18.05225806
2020-08-13,3,8,2020,13,40000.0,1,348.29999999999995,7577615.729000012,19411,3410.3,2374.7000000000003,33960,4481,1107,13537,2960,9209,637682229.3600001,157710487.17000002,201269012.37999994,274676928.86000013,831.9190229916287,399.5677753967858,42.3358929577464,46.55166012338761,46.629251899474,36902134.4,18609860.400000002,122.8709677419355,123.6129032258064,1155.367,929.5167,348.0833,70306.77,113508.1,28671.93,336.4,14.100000000000001,3.6,76,126.1290322580645,118.8387096774194,108.9354838709677,21.83451613
2021-01-04,1,1,2021,4,102960.0,18,80.1,10630740.504000012,17017,2893.6,2348.6,22960,3957,-4579,9544,1908,5761,3578577.84,622113.98,2486463.86,0,646.5054683454985,332.90987532367166,42.8563853292089,47.1030677107322,47.16754413291779,29392406.7,15834826.2,163.9677419354839,157.3225806451613,1330.95,789.25,425.75,111080.2,84602.3,83964.3,142.9,25.9,7.9,,175.9677419354839,175,138.3870967741935,22.78258065
2021-01-05,1,1,2021,5,102960.0,2,80.1,10630740.504000012,17017,2893.6,2348.6,22960,3957,-4579,9544,1908,5761,3578577.84,622113.98,2486463.86,0,646.5054683454985,332.90987532367166,42.8563853292089,47.1030677107322,47.16754413291779,29392406.7,15834826.2,163.9677419354839,157.3225806451613,1330.95,789.25,425.75,111080.2,84602.3,83964.3,142.9,25.9,7.9,,175.9677419354839,175,138.3870967741935,22.78258065
2021-01-12,1,1,2021,12,102960.0,1,80.1,10630740.504000012,17017,2893.6,2348.6,22960,3957,-4579,9544,1908,5761,3578577.84,622113.98,2486463.86,0,646.5054683454985,332.90987532367166,42.8563853292089,47.1030677107322,47.16754413291779,29392406.7,15834826.2,163.9677419354839,157.3225806451613,1330.95,789.25,425.75,111080.2,84602.3,83964.3,142.9,25.9,7.9,,175.9677419354839,175,138.3870967741935,22.78258065
2021-01-20,1,1,2021,20,102960.0,1,80.1,10630740.504000012,17017,2893.6,2348.6,22960,3957,-4579,9544,1908,5761,3578577.84,622113.98,2486463.86,0,646.5054683454985,332.90987532367166,42.8563853292089,47.1030677107322,47.16754413291779,29392406.7,15834826.2,163.9677419354839,157.3225806451613,1330.95,789.25,425.75,111080.2,84602.3,83964.3,142.9,25.9,7.9,,175.9677419354839,175,138.3870967741935,22.78258065
2021-01-21,1,1,2021,21,102960.0,1,80.1,10630740.504000012,17017,2893.6,2348.6,22960,3957,-4579,9544,1908,5761,3578577.84,622113.98,2486463.86,0,646.5054683454985,332.90987532367166,42.8563853292089,47.1030677107322,47.16754413291779,29392406.7,15834826.2,163.9677419354839,157.3225806451613,1330.95,789.25,425.75,111080.2,84602.3,83964.3,142.9,25.9,7.9,,175.9677419354839,175,138.3870967741935,22.78258065
2021-01-26,1,1,2021,26,102960.0,1,80.1,10630740.504000012,17017,2893.6,2348.6,22960,3957,-4579,9544,1908,5761,3578577.84,622113.98,2486463.86,0,646.5054683454985,332.90987532367166,42.8563853292089,47.1030677107322,47.16754413291779,29392406.7,15834826.2,163.9677419354839,157.3225806451613,1330.95,789.25,425.75,111080.2,84602.3,83964.3,142.9,25.9,7.9,,175.9677419354839,175,138.3870967741935,22.78258065
2021-01-27,1,1,2021,27,102960.0,2,80.1,10630740.504000012,17017,2893.6,2348.6,22960,3957,-4579,9544,1908,5761,3578577.84,622113.98,2486463.86,0,646.5054683454985,332.90987532367166,42.8563853292089,47.1030677107322,47.16754413291779,29392406.7,15834826.2,163.9677419354839,157.3225806451613,1330.95,789.25,425.75,111080.2,84602.3,83964.3,142.9,25.9,7.9,,175.9677419354839,175,138.3870967741935,22.78258065
2021-02-01,1,2,2021,1,102960.0,14,80.1,10373184.167000009,18973,2893.6,2348.6,35506,9201,5244,13786,2689,8741,244433818.81,24680667.38,215267341.79999998,3642088.9,646.5054683454985,332.90987532367166,43.30520264317159,47.57407439446378,47.5774595842956,29392406.7,15834826.2,118.8928571428571,99.07142857142857,1305.083,871.3167,361.4333,112079.9,94301.38,188676.1,142.9,25.9,10,,127.3214285714286,128.7857142857143,84.92857142857143,24.98107143
