date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year
2018-01-29,1,1,2018,29,17000.0,98,53,,,1266.9,1024.3,3509,,,1306,763,2089,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677,5494683,,,,,,,,,76.7,33.3,,,,,,,509.0
2018-02-05,1,2,2018,5,30000.0,49,53,,,1266.9,1024.3,4975,,,1980,1150,2980,56089509.86000001,33562979.38,13706394.869999997,8470135.61,534.0950031894535,139.1969347041314,42.7975,39.4925,39.4825,21978677,5494683,,,,,,,,,76.7,33.3,,,,,,,509.0
2018-05-21,2,5,2018,21,29740.0,1,35.7,,,1041.6999999999998,817.2,6096,,,2100,1177,3445,248812797.56000006,30661772.879999995,49003052.56999999,168255239.51999998,575.8480790082934,265.2602518566354,44.35249999999999,40.685,41.205,24562080,10953480,,,,,,,,,57.89999999999999,31.60000000000001,,,,,,,509.0
2018-08-13,3,8,2018,13,25000.0,1,17.599999999999994,,,1787,1567.8999999999999,6942,,,2560,1439,3899,234006716.34000003,75736547.19,126234363.30000001,31720142.97000003,895.2707122127154,277.6216396971211,46.19500000000001,42.6275,43.605000000000004,39716820,12038137,,,,,,,,,60.60000000000001,31.099999999999994,,,,,,,509.0
2018-10-15,4,10,2018,15,60000.0,1,32.89999999999999,,,2693.9,2167.6000000000004,7838,,,2716,1539,4218,536540523.11000013,83179801.19999999,384166859.52,68737380.38999999,942.4571331713656,280.1140347159343,45.96,42.5025,43.06999999999999,41701372,12116566,,,248,1033.3,591.6,28802.5,81061.1,63437.1,167.10000000000002,56.30000000000001,,,,,,,509.0
2018-12-04,4,12,2018,4,25000.0,1,32.89999999999999,,,2693.9,2167.6000000000004,8619,,,2721,1581,4627,3823160229.5199995,266944252.18999994,614239352.5699999,2939889635.75,942.4571331713656,280.1140347159343,46.025,42.5325,43.519999999999996,41701372,12116566,,,248,9032.7,701.9,26749.6,85598.6,68967.4,167.10000000000002,56.30000000000001,,,,,,,509.0
2018-12-07,4,12,2018,7,60000.0,1,32.89999999999999,,,2693.9,2167.6000000000004,8619,,,2721,1581,4627,3823160229.5199995,266944252.18999994,614239352.5699999,2939889635.75,942.4571331713656,280.1140347159343,46.025,42.5325,43.519999999999996,41701372,12116566,,,248,9032.7,701.9,26749.6,85598.6,68967.4,167.10000000000002,56.30000000000001,,,,,,,509.0
2019-05-21,2,5,2019,21,30000.0,1,58.7,,29950,1556.4,1188,1891,,,1891,1036,2681,395255171.55999994,41357346.649999976,115799589.92000002,237617364.53000003,580.1155596635549,270.2041546385918,46.8925,43.160000000000004,44.102500000000006,26151126,11934242,100.16129032258064,100.29032258064517,259.9,1072.2,750.2,28995.9,96259.4,72358.5,131.3,57.699999999999996,,,96.96774193548387,88.2258064516129,100.45161290322581,14.79,463.0
2019-05-22,2,5,2019,22,57500.0,4,58.7,,29950,1556.4,1188,1891,,,1891,1036,2681,395255171.55999994,41357346.649999976,115799589.92000002,237617364.53000003,580.1155596635549,270.2041546385918,46.8925,43.160000000000004,44.102500000000006,26151126,11934242,100.16129032258064,100.29032258064517,259.9,1072.2,750.2,28995.9,96259.4,72358.5,131.3,57.699999999999996,,,96.96774193548387,88.2258064516129,100.45161290322581,14.79,463.0
2019-06-06,2,6,2019,6,20000.0,1,58.7,,11515,1556.4,1188,2147,,,2147,1200,3069,253203873.44000006,74902953.32000002,129520980.29000002,47216911.370000005,580.1155596635549,270.2041546385918,47.1925,43.3775,44.4075,26151126,11934242,100.23333333333333,106.83333333333333,239.9,1119.5,732.2,29947.6,94133.4,76158.5,131.3,57.699999999999996,,,107.56666666666666,91.13333333333334,107.16666666666667,14.41233333,463.0
