date,quarter,month,year,split,avg_salary,count_in_day,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Средства_на_счетах_эскроу_в_рублях_ежемесячные_изменения_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Изменение_активности_МСП_по_регионам_Сбериндекс_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-05-30,2,5,2018,30,57500.0,1,49.5,,,483.29999999999995,367.8,4737,,,950,548,3437,917395150.7199999,32321229.17,35230086.67999999,849543834.87,240.317691823201,56.73233817000438,38.50184265010348,41.5865324384786,42.28846064814825,9615700.100000001,2393321.9,,,,,,,,,28.299999999999997,1.0999999999999999,,,,,,
2018-07-16,3,7,2018,16,57500.0,1,65.9,,,708.0999999999999,426.4000000000001,4725,,,854,487,3426,138164641.27999997,73054043.16999999,18107227.27000001,47003370.839999914,389.92483684786083,70.9832431281098,39.66881720430104,42.91762114537445,43.5364406779661,16090326.900000002,3089029.3,,,,,,,,,42.900000000000006,0.10000000000000009,,,,,,
2018-08-03,3,8,2018,3,82500.0,1,65.9,,,708.0999999999999,426.4000000000001,5393,,,1180,650,3811,231231769.6600001,79365520.30000001,24908125.629999995,126958123.73000002,389.92483684786083,70.9832431281098,39.62999999999995,42.86944444444444,43.52142857142857,16090326.900000002,3089029.3,,,,,,,,,42.900000000000006,0.10000000000000009,,,,,,
2018-08-06,3,8,2018,6,77000.0,1,65.9,,,708.0999999999999,426.4000000000001,5393,,,1180,650,3811,231231769.6600001,79365520.30000001,24908125.629999995,126958123.73000002,389.92483684786083,70.9832431281098,39.62999999999995,42.86944444444444,43.52142857142857,16090326.900000002,3089029.3,,,,,,,,,42.900000000000006,0.10000000000000009,,,,,,
2018-08-20,3,8,2018,20,67500.0,1,65.9,,,708.0999999999999,426.4000000000001,5393,,,1180,650,3811,231231769.6600001,79365520.30000001,24908125.629999995,126958123.73000002,389.92483684786083,70.9832431281098,39.62999999999995,42.86944444444444,43.52142857142857,16090326.900000002,3089029.3,,,,,,,,,42.900000000000006,0.10000000000000009,,,,,,
2018-11-18,4,11,2018,18,97500.0,1,30,,,1164.1,980.5999999999999,5575,,,1115,636,3823,762299772.2800002,157716927.47999996,82248674.70999998,516134054.72,201.7073008550955,61.42741900185056,39.64105571847502,42.83445692883897,44.84618902439025,8319137,2742314.700000001,,,154.55,671.35,541,8391.8,59455,39115.25,87.9,3.1000000000000005,,,,,,
2018-11-24,4,11,2018,24,85000.0,1,30,,,1164.1,980.5999999999999,5575,,,1115,636,3823,762299772.2800002,157716927.47999996,82248674.70999998,516134054.72,201.7073008550955,61.42741900185056,39.64105571847502,42.83445692883897,44.84618902439025,8319137,2742314.700000001,,,154.55,671.35,541,8391.8,59455,39115.25,87.9,3.1000000000000005,,,,,,
2018-12-06,4,12,2018,6,100000.0,1,30,,,1164.1,980.5999999999999,6730,,,1175,669,4612,1051261562.75,177884672.2600001,197867140.54999995,664930155.8900001,201.7073008550955,61.42741900185056,39.65461254612543,42.82196261682244,45.52281632653065,8319137,2742314.700000001,,,151.3,677.2,527.1,11611.35,58451.95,38767.5,87.9,3.1000000000000005,,,,,,
2018-12-08,4,12,2018,8,95000.0,2,30,,,1164.1,980.5999999999999,6730,,,1175,669,4612,1051261562.75,177884672.2600001,197867140.54999995,664930155.8900001,201.7073008550955,61.42741900185056,39.65461254612543,42.82196261682244,45.52281632653065,8319137,2742314.700000001,,,151.3,677.2,527.1,11611.35,58451.95,38767.5,87.9,3.1000000000000005,,,,,,
2019-01-10,1,1,2019,10,120000.0,2,23.5,,2734,393.9,335.6,3443,,,686,385,2293,19799274.58,3608518.7,12000000,4190755.88,200.03205593550794,52.83953072059648,40.31662420382163,43.39020477815703,46.31094155844156,8406155,2453919,,,155.25,702.75,759.45,13107.2,56794,41894.5,14.2,,,,,,,
2019-01-13,1,1,2019,13,120000.0,1,23.5,,2734,393.9,335.6,3443,,,686,385,2293,19799274.58,3608518.7,12000000,4190755.88,200.03205593550794,52.83953072059648,40.31662420382163,43.39020477815703,46.31094155844156,8406155,2453919,,,155.25,702.75,759.45,13107.2,56794,41894.5,14.2,,,,,,,
2019-02-02,1,2,2019,2,77000.0,1,23.5,,2839,393.9,335.6,4510,,,909,487,3046,57993414.769999996,42317435.86,941884.9800000004,12734093.93,200.03205593550794,52.83953072059648,40.95142361111109,43.82756457564572,46.60218637992828,8406155,2453919,83.4074074074074,97.37037037037037,157.65,711.95,684.2,11818.85,57063.25,40938.4,14.2,,,,86.70370370370371,96.4074074074074,90.5925925925926,15.81888889
2019-02-19,1,2,2019,19,92500.0,1,23.5,,2839,393.9,335.6,4510,,,909,487,3046,57993414.769999996,42317435.86,941884.9800000004,12734093.93,200.03205593550794,52.83953072059648,40.95142361111109,43.82756457564572,46.60218637992828,8406155,2453919,83.4074074074074,97.37037037037037,157.65,711.95,684.2,11818.85,57063.25,40938.4,14.2,,,,86.70370370370371,96.4074074074074,90.5925925925926,15.81888889
2019-03-21,1,3,2019,21,80000.0,1,23.5,,4193,393.9,335.6,4720,,,1057,478,3083,517911980.55999994,14284437.519999996,460463.8499999996,503082209.19,200.03205593550794,52.83953072059648,40.19230158730157,43.46611764705882,46.40977859778602,8406155,2453919,91.90322580645162,95.64516129032258,155.4,728.4,645.25,12620.4,56276.4,40536.8,14.2,,,,89.12903225806451,98.38709677419355,97.45161290322581,15.71548387
