date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2016-01-01,2454.7,2052.8,2327.5,2774.1,1020,1852.7
2016-07-01,3088.6000000000004,2644.2,3260.3999999999996,2937.5000000000005,1678.9,2045.9999999999998
2017-01-01,2805,2501.1,3305.1,2152.5,1782.8,2389.1
2017-07-01,4039.2,4054.9,3737.5000000000005,2116.3999999999996,2098,2578.0000000000005
2018-01-01,4089.1,3147,3968.2,2253.8,2565.3,2586.4
2018-07-01,4973.5,3948.2,4473.500000000001,2210.8999999999996,2929.0999999999995,2667.7999999999997
2019-01-01,3917.8,3117.5,3669.7,2140.8,2320.3,2048.6
2019-07-01,4358.900000000001,4746.5,3745.9000000000005,2117.3999999999996,2634.8999999999996,2285.1
2020-01-01,3529.9,3089.7,2582,1527.6,2080.8,1946.2
2020-07-01,5218.200000000001,3751.1000000000004,3055.7,1624.9,2817.2,2242.1000000000004
2021-01-01,4896.6,4385.1,3232,1731.5,2693.5,3285.5
