date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2017-01-01,12.2,11.2,5.5,23.4,23.6,81.4
2017-02-01,12.4,11.6,3.2,18.1,7.8,6.8
2017-03-01,8.8,6.3,5.4,10.4,15.5,33.5
2017-04-01,9.8,5.3,2.8,11.9,14.7,17.6
2017-05-01,7.5,4.3,3.1,7.9,10.7,5.3
2017-06-01,3.2,6,9.1,9,14.2,7.3
2017-07-01,6.6,6.1,11.3,7.9,22,7
2017-08-01,4.9,6.5,17.7,9.6,20.7,10.7
2017-09-01,9,7.6,9.2,9.6,12.2,15.9
2017-10-01,7.6,12.2,13,21.8,17.2,6.1
2017-11-01,8.4,14.5,9.8,14.1,12.2,9.5
2017-12-01,14,10,6.8,14.6,18.9,4.8
2018-01-01,6.7,23.4,6.2,15.8,9.8,12.6
2018-02-01,6.1,6.9,9.3,9,12.7,7.4
2018-03-01,5.1,14.5,10.9,8.8,11.7,10.4
2018-04-01,5.2,9.2,7.8,4.4,9,14.3
2018-05-01,2.9,5.2,6.1,6.8,6.9,6.2
2018-06-01,4.7,8.1,18.6,9.5,16.5,7.6
2018-07-01,6.8,6.2,8.9,4.7,4.3,4.8
2018-08-01,4.1,12.3,12.9,5.9,13.5,8.6
2018-09-01,6.5,13.3,8.6,6.7,9.3,5.9
2018-10-01,7,11.9,6.5,17.9,14.2,11.8
2018-11-01,9.7,15,6,12.1,7.5,32.3
2018-12-01,8.8,42.4,8,9.4,24.5,31.3
2019-01-01,7.2,17.4,9.7,8.1,8.3,5.5
2019-02-01,21,12.4,38.3,9.7,8.7,8.6
2019-03-01,11,10.2,13.6,9,2.4,3.1
2019-04-01,16,9,28.9,8.2,17.3,16
2019-05-01,3.6,6.6,25.3,9.4,4.4,26.5
2019-06-01,10.3,7.6,20.9,8.1,28.6,30.9
2019-07-01,7.7,20,8.9,13.8,6.4,17.4
2019-08-01,6.1,8.4,12.7,15.9,7,8.1
2019-09-01,5.2,11.1,13.6,16,23.1,19.6
2019-10-01,5.9,10,8.6,8,10.4,8.8
2019-11-01,11.4,9.5,18.3,16.1,10.1,7.7
2019-12-01,8.9,8.4,13.4,7.3,14.4,16.2
2020-01-01,8.9,9.4,11.2,6.6,11.9,10.1
2020-02-01,20.8,9.8,9.9,7.7,8.8,5.6
2020-03-01,15.2,7.5,7.1,15,11.5,4.6
2020-04-01,12.2,6.4,5.3,9.2,7.5,12.5
2020-05-01,15.5,7,12,7,6.5,7.7
2020-06-01,9.2,6.6,10.9,8.8,6,3.6
2020-07-01,9.7,22.3,10.8,14.9,11.7,13.5
2020-08-01,11.4,11.6,12,9.2,8.3,9.3
2020-09-01,10,19.7,9.5,10.7,15.4,9.9
2020-10-01,11.1,15.3,13.7,15.3,16.6,13.1
2020-11-01,11.4,11.5,15.6,9.4,8,13.8
2020-12-01,9.4,13.9,5.8,7.9,13.5,17.6
2021-01-01,6.9,7.3,9,17.5,9,8.8
2021-02-01,8.2,9.5,8.8,9.5,9,20.5
2021-03-01,11.1,7.3,8.9,8.9,11.2,11
2021-04-01,13.2,5.6,10.8,9,4.5,3.1
2021-05-01,6.6,3.5,4.5,5.1,2.3,7.1
2021-06-01,4.9,11,5.5,12.3,14.8,7.8
2021-07-01,7.5,9.8,16.6,9.6,16.2,7.9
2021-08-01,8.8,10.5,7.5,9.9,13.6,5.9
2021-09-01,8.6,10,10.8,12.9,13.6,6.5
2021-10-01,19.1,8.1,8.7,12.2,12.2,9
2021-11-01,7,7.4,5.8,7,11,7
2021-12-01,9.7,8.6,6.6,12.7,11.5,9.9
2022-01-01,13.8,4.9,6.5,13.4,7.4,4.6
2022-02-01,11.8,6.3,6.2,9.2,9.3,4.2
2022-03-01,5.9,7.2,8.8,15.9,9.2,6
2022-04-01,8.1,7.5,8.4,11.1,11.8,6.9
2022-05-01,11.7,9.8,8,14.6,6.1,7.1
2022-06-01,15.5,7.1,8.5,7.9,11,5.2
2022-07-01,9.887456144347746,7.355374142279841,7.270272876289654,10.190582796668071,6.617594511541485,6.200158510839756
2022-08-01,12.823354094226433,5.691294647692074,11.220684751959993,9.239055076736701,8.903903688964599,5.53725380248125
2022-09-01,9.396097005859104,7.434462190140693,6.953165532857828,15.140834728463595,11.656569576497136,4.351171738370059
