date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2011-01-01,100.7,96.5,102.8,75.4,99.9,103.3
2011-04-01,100.7,94.2,103.8,81.7,96.5,102.9
2011-07-01,120.6,122.3,105.7,183.8,143,139.6
2011-10-01,125.4,136.2,141.5,141.1,111.3,144.2
2012-01-01,105,100.9,100.6,104.8,96.1,103.2
2012-04-01,129.1,99.6,101.5,104.8,96.3,100.4
2012-07-01,85.3,90.6,86.4,74.9,104.1,73
2012-10-01,88,96.3,78,85.7,94.5,67.9
2013-01-01,87.2,103.7,94,99.3,100.2,110.2
2013-04-01,91.6,98.1,92.5,99.6,100.4,107.3
2013-07-01,91.6,101,107.6,113.1,96.2,125.7
2013-10-01,119.7,103.3,133.8,156.4,109.8,119.1
2014-01-01,105.2,91.6,100.6,101.6,100.1,102
2014-04-01,102.3,98.2,100.6,101.7,99.9,105.3
2014-07-01,121.7,106.2,104.3,93.7,110.8,108.1
2014-10-01,93.9,95.7,101.4,120.2,95.2,100.3
2015-01-01,102.3,97.1,104.1,96.9,101.1,105.5
2015-04-01,100.4,114.4,106.4,97.7,100.3,102.8
2015-07-01,103.9,108.1,104,101.8,100.9,104.4
2015-10-01,101.3,111.2,100.6,115.1,106.9,110.9
2016-01-01,103.5,113,106.2,101.1,103.8,103.4
2016-04-01,100.8,107.3,102.3,101.6,105.5,105.8
2016-07-01,111.3,99.3,100.4,98.2,97.4,108.7
2016-10-01,131.3,87,125.4,107.1,100.5,89.8
2017-01-01,98.8,102.7,101.5,103.5,98.4,104.4
2017-04-01,98.3,101.7,101.9,102.7,94.6,97.3
2017-07-01,117.3,92.1,100.5,93.4,102.2,100
2017-10-01,93.5,91.2,100.1,124.4,100.8,113.2
2018-01-01,128,100.4,101.7,99.5,98.9,96.4
2018-04-01,128.8,101.4,102.8,98.2,101.8,99.9
2018-07-01,76.4,103.6,95.2,95.1,97.8,93.7
2018-10-01,95.2,105,88.6,108.9,100.6,100.7
2019-01-01,68.5,109.9,102.9,96.7,103.4,103.2
2019-04-01,94.6,103.7,102.2,102.5,103.1,103.1
2019-07-01,111.1,111.9,106.9,100,101.8,87.9
2019-10-01,110.8,107.9,119.4,107.8,108.7,106.5
2020-01-01,104.2,100.8,103,105.4,99.5,99.5
2020-04-01,90.3,98.8,102.7,100.4,99.7,97.6
2020-07-01,104.5,100.9,87.4,104.7,108.3,91.6
2020-10-01,87.8,101.7,85.5,101.1,104.1,73.9
2021-01-01,100.4,104.4,98.5,100.1,100.5,92.8
2021-04-01,102.9,101,102.8,99.9,100.1,91.6
2021-07-01,107.9,99.7,116.8,78.2,81.9,95.7
2021-10-01,111.1,113.7,118,81,104.4,105
2022-01-01,115,103.2,103.2,99.1,98.8,100.2
2022-04-01,113.3,103.1,102.4,100.8,102.8,104.1
