date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2005-01-01,104.8,98.5,104.3,110.6,103.8,104.5
2006-01-01,143.8,112.2,117.5,113.5,123.3,107.2
2007-01-01,122.4,145.8,128.4,130.1,127.3,126.9
2008-01-01,121.7,100.8,121,109,127.7,113.8
2009-01-01,85.6,73.3,111.7,73.2,96.9,79.4
2010-01-01,93,98.9,141.5,99,91.5,99.2
2011-01-01,96.8,104.5,111.5,107.2,108.2,107.6
2012-01-01,119.4,107,102.3,108.4,105.4,100.1
2013-01-01,118.9,105.9,113.6,107.9,100.7,104.7
2014-01-01,102.1,104.1,78.9,103.4,94.7,101.2
2015-01-01,104.3,89.3,73.6,100.5,75,83.6
2016-01-01,89.9,95.1,71.7,102.5,90.6,86.7
2017-01-01,107.7,108.4,110.3,74.7,101.7,103.1
2018-01-01,80,129.3,97.9,92.4,103,123.3
2019-01-01,102.1,107.7,85.9,119,105.1,110.1
2020-01-01,107.6,93,100.1,105,116.7,100.1
2021-01-01,114,102.4,103.4,105.1,100.4,94
