date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2010-01-01,11 685,15 673,13 969,13 916,11 536,11 390
2011-01-01,13603,18209,15862,15743,13835,13194
2012-01-01,15619,20553,18257,17421,16111,14560
2013-01-01,18708,23007,21972,21011,19948,17906
2014-01-01,20583,25576,25092,22430,21283,18342
2015-01-01,21 970,27 730,27 285,22 320,21 628,17 700
2016-01-01,22874,29677,28703,22796,22591,17274
2017-01-01,23829,32159,29962,23919,24239,17339
2018-01-01,25161,35199,31248,25043,25998,18237
2019-01-01,26767,37972,32957,26423,27747,19500
2020-01-01,26123,36961,32528,24843,26132,20457
