date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2010-01-01,23588,42462,53219,19417,29381,14275
2011-01-01,29983,47024,67266,24323,26763,17797
2012-01-01,33240,50386,61908,31175,35615,19633
2013-01-01,33130,62489,54281,32847,32575,23281
2014-01-01,38071,51700,40158,28677,21275,22915
2015-01-01,24139,36520,19679,23164,18621,16465
2016-01-01,33197,38119,29783,32358,22813,15773
2017-01-01,34343,39602,40213,42923,23967,20981
2018-01-01,37492,47167,48599,42943,30702,20136
2019-01-01,44498,41776,42541,38912,38751,20953
2020-01-01,65 967,48 684,43 866,50 696,53 713,28 627
