date,quarter,month,year,split,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-01-04,1,1,2018,4,2132567.90921519,7933.062684365782,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.6071475320504,88.95439893854095,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-01-05,1,1,2018,5,2132567.90921519,7933.062684365782,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.6071475320504,88.95439893854095,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-01-06,1,1,2018,6,2132567.90921519,7933.062684365782,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.6071475320504,88.95439893854095,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-01-07,1,1,2018,7,2132567.90921519,7933.062684365782,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.6071475320504,88.95439893854095,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-01-08,1,1,2018,8,2132567.90921519,7933.062684365782,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.6071475320504,88.95439893854095,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-01-09,1,1,2018,9,2132567.90921519,7933.062684365782,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.6071475320504,88.95439893854095,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-01-10,1,1,2018,10,2132567.90921519,7933.062684365782,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.6071475320504,88.95439893854095,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-01-11,1,1,2018,11,2132567.90921519,7933.062684365782,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.6071475320504,88.95439893854095,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-01-12,1,1,2018,12,2132567.90921519,7933.062684365782,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.6071475320504,88.95439893854095,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-01-13,1,1,2018,13,2132567.90921519,7933.062684365782,517.0,385.0,4873.0,1342.0,710.0,3079.0,23421001.0,10355770.76,12478824.42,586405.56,305.6071475320504,88.95439893854095,37.26078431372539,40.22328767123275,40.29469696969699,11828326.0,3583377.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,48.1,8.8,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
