date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2016-01-01,997.8,8162.8,1781.9,292.3,941.6,741.7
2016-07-01,1178.8,10573.600000000002,1939.1,333.49999999999994,1114,1092.3999999999999
2017-01-01,1434.8,10596.4,2227.2,296.4,1298.5,1176.5
2017-07-01,1443.5000000000002,13033.4,2370.2,464,1576.9,1518.8000000000002
2018-01-01,1568,13348.5,2485.6,462.7,1650.5,1448.2
2018-07-01,1486.3000000000002,14457.599999999999,2191.7999999999997,556.7,1596.1999999999998,1327.6000000000001
2019-01-01,1478.3,12872.8,2183,343.5,1530.9,1360.2
2019-07-01,1391.1000000000001,14668.7,2121,423.79999999999995,1904.6999999999998,1655.4999999999998
2020-01-01,1233.1,11461.4,2232.6,302.2,1350.9,1068.8
2020-07-01,1293.7000000000003,13943.300000000001,2288.7000000000003,625.5999999999999,1585.7999999999997,1369.2
2021-01-01,1445.3,15513.6,2884.4,424.7,1562.6,1646.3
