date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2002-01-01,105.35,103.21,103.68,102.16,102.54,102.11
2002-02-01,100.76,101.67,100.2,100.87,101.03,101.32
2002-03-01,100.29,101.09,100.47,101.29,101.47,100.87
2002-04-01,101.34,101.6,101.62,100.83,100.55,100.95
2002-05-01,103.02,101.94,103.02,101.73,102,101.38
2002-06-01,101.17,100.84,100.43,101,100.34,100.39
2002-07-01,98.55,101.04,97.9,101.62,102.05,100.82
2002-08-01,100.09,100.13,102.04,100.49,99.37,100.52
2002-09-01,100.96,100.81,100.48,99.32,100.58,100.3
2002-10-01,101.64,101.13,100.75,100.72,101.19,100.19
2002-11-01,101.91,101.8,101.69,101.77,101.89,101.23
2002-12-01,102.15,101.25,102.71,101.98,101.47,101.29
2003-01-01,103.95,101.57,101.19,102.19,105.07,101.79
2003-02-01,101.53,102.11,101.01,101.68,101.35,102.44
2003-03-01,101.16,100.99,100.68,100.44,101.28,101.02
2003-04-01,99.88,101.03,101.2,100.92,101.19,100.62
2003-05-01,100.99,101.34,101.07,100.9,100.99,100.44
2003-06-01,102.18,100.88,101.96,100.52,100.6,100.06
2003-07-01,99.97,100.98,100.38,101.61,101.72,100.09
2003-08-01,98.23,99.85,99.78,99.6,99.18,100.02
2003-09-01,100.31,99.88,100.76,100.03,100.55,100.45
2003-10-01,101.15,100.69,100.34,100.99,100.8,101.25
2003-11-01,101.22,100.74,100.57,100.71,100.58,100.93
2003-12-01,101.06,101.08,101.33,101.03,101.14,101.05
2004-01-01,102,101.52,101.58,102.36,101.92,102.31
2004-02-01,101.34,101.01,100.54,101.95,102.34,101.01
2004-03-01,100.91,101,100.52,101,100.77,100.79
2004-04-01,102.09,101.67,101.21,101.59,100.89,101.07
2004-05-01,101.37,100.74,101.1,100.44,100.58,100.44
2004-06-01,100.96,100.73,101.22,100.42,101.02,100.54
2004-07-01,100.03,100.77,100.59,101.25,101.44,100.99
2004-08-01,99.88,100.43,100.36,100.59,99.87,100.81
2004-09-01,100.84,100.15,100.8,100.8,100.29,101.15
2004-10-01,101.49,101.39,101.5,101.13,101.56,100.74
2004-11-01,101.1,101.04,100.92,100.83,101.5,100.76
2004-12-01,101.04,101.18,101.2,101.06,101.29,100.63
2005-01-01,103.76,104.71,102.99,103.1,102.5,102.48
2005-02-01,101.54,101.06,101.29,101.56,101.55,100.53
2005-03-01,101.7,100.82,101.88,101.13,101.64,101.43
2005-04-01,101.24,101.33,101.8,100.99,101.9,101.92
2005-05-01,101.55,100.51,101.33,100.49,100.17,100.7
2005-06-01,102.05,100.61,100.94,100.33,100.66,100.15
2005-07-01,98.26,100.47,99.19,100.71,100.38,100.86
2005-08-01,99.48,100.07,99.95,99.95,99.18,100.42
2005-09-01,100.4,99.85,100.75,99.94,100.37,101.24
2005-10-01,100.57,100.16,100.31,100.52,100.95,100.32
2005-11-01,100.95,100.49,100.78,100.69,101.02,100.56
2005-12-01,100.77,100.78,100.54,100.98,101.06,100.51
2006-01-01,103.42,102.6,102.68,102.85,103.92,103.14
2006-02-01,102.16,101.27,101.34,102.5,102.14,101.43
2006-03-01,100.15,101.38,100.6,100.71,100.08,100.87
2006-04-01,100.23,100.56,99.78,100.2,100.01,100.58
2006-05-01,100.73,100.42,100.91,100.24,100.55,100.43
2006-06-01,100.31,100.36,100.39,99.95,100.34,99.97
2006-07-01,99.52,100.23,99.54,100.94,101.16,100.95
2006-08-01,99.97,100.23,100.35,99.89,99.89,100.36
2006-09-01,100.74,99.88,101.06,99.84,99.86,100.56
2006-10-01,100.38,100.19,100.76,100.03,100.28,100.03
2006-11-01,100.73,100.41,101.16,100.53,100.47,100.4
