date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2015-01-01,93.3,97.2,103.4,100.8,105,112
2015-02-01,96.1,96.6,109.2,98,95.3,98.6
2015-03-01,78.1,98.6,104.8,100.4,97.4,103.7
2015-04-01,80.6,97.4,103.7,93.3,104.3,100.8
2015-05-01,141.5,96,102.7,94.5,106,93.3
2015-06-01,93,98,101.4,93.4,109.8,91.9
2015-07-01,102.9,97.4,99.5,96.7,101.8,94.6
2015-08-01,190,99.9,98.3,100.7,109.8,96
2015-09-01,207.6,99.4,103.5,100.5,102.2,94.1
2015-10-01,251.1,102,102.6,100.5,110.1,94.5
2015-11-01,359.3,100.3,95.1,101.7,100.3,94.7
2015-12-01,144.1,98.6,97.8,99.4,102.7,95.9
2016-01-01,98.1,96.2,99.8,97,101.6,92.7
2016-02-01,89.5,101,91.1,98.6,103.6,99.6
2016-03-01,109,103.6,95.9,100,103.4,95.3
2016-04-01,116.2,101.6,100.7,98.7,101.6,96.2
2016-05-01,130.8,107.1,99.6,96.8,94.2,105.5
2016-06-01,123.8,104,103.4,102,107.3,98.7
2016-07-01,142.7,103.9,96.6,97.2,109.5,96
2016-08-01,111.3,108.2,104.4,100.3,104.6,99.2
2016-09-01,110.1,108.4,97.6,99.7,104.6,99.3
2016-10-01,106.2,107.1,100.1,100.6,103.9,100
2016-11-01,99.7,109,106.4,101,100.5,101.6
2016-12-01,106.4,110.3,109.6,103.1,96,96
2017-01-01,111.1,106.7,104.1,108.1,108.8,105.4
2017-02-01,115.9,104.6,109.2,96.4,100.3,97.9
2017-03-01,115.2,104.5,108.4,98.4,106.9,102
2017-04-01,101.7,104.8,102.9,105.2,103.4,100.3
2017-05-01,99.4,110.4,104.4,112.2,119.3,100.8
2017-06-01,100.5,106.7,103.7,104.1,100.3,109.3
2017-07-01,102.9,107,107.6,106.2,97.9,108.4
2017-08-01,114.7,108.2,104.2,101.8,100.4,108.3
2017-09-01,143.3,107.5,105.3,104,105,103.8
2017-10-01,98.2,107.9,107.9,108.3,100.9,102.9
2017-11-01,96.3,107,101.2,106.2,102.1,105.6
2017-12-01,94.8,106.6,95.6,102.5,113.2,107.4
2018-01-01,119.9,105.9,97.4,101.6,103,112.4
2018-02-01,106.7,104.7,98.3,99.1,109.1,103.6
2018-03-01,109.8,103.9,101.5,98.7,103.2,100.9
2018-04-01,134.3,109,108.3,99.4,102.6,102.1
2018-05-01,114,106.3,105.1,97.8,104.3,101.8
2018-06-01,103.4,110.2,95.5,111.2,103.1,99.6
2018-07-01,86,110.2,100.5,101,99.6,98
2018-08-01,101.3,109.4,95.9,110,108.2,96.6
2018-09-01,90.8,109,98,97.7,102,98.5
2018-10-01,161.6,110.9,95.5,88.5,91.9,100.6
2018-11-01,95.4,108,99.4,96.9,101.1,99.7
2018-12-01,112.3,106.6,108,107.4,101.6,100.6
2019-01-01,108.7,104.5,99.7,103.7,93.7,93
2019-02-01,110.2,110,95.6,111.6,104.7,100.4
2019-03-01,92.1,108,94.2,104.9,101.7,96.5
2019-04-01,113.1,111.4,99.4,111.1,109,98
2019-05-01,102.3,106.6,99.6,108.7,105.5,99.8
2019-06-01,97.5,109.8,100.8,110.4,107.2,101.6
2019-07-01,99.7,114.1,99.6,105.9,118.6,103.9
2019-08-01,115.3,109.7,111.7,102,100.8,104.6
2019-09-01,105.8,114.3,108.7,110.3,113.3,107.2
2019-10-01,110.6,108.5,114.5,114.5,111.6,106.9
2019-11-01,107.3,120.3,107.5,102.5,98.3,102.9
2019-12-01,85.5,111.7,107.3,96.8,93.4,97.9
2020-01-01,106.8,107.9,96.7,102.4,102.4,97.4
2020-02-01,100.3,114.1,107.1,103,99.9,96.8
2020-03-01,98.2,109.6,118.7,102.4,101.9,97
2020-04-01,89.8,99.4,109.6,96.9,78.4,93.4
2020-05-01,95.1,99.8,94.9,103.1,84,89.7
2020-06-01,94.6,112.7,90.5,99.1,87.1,97.9
2020-07-01,113.6,112.4,93.5,90.4,87.9,97
2020-08-01,102.7,112.1,86.3,87.5,94,100.9
2020-09-01,108,113.6,91.4,90.2,102.3,103.9
2020-10-01,101,111.3,87.5,100.1,96.1,102.4
2020-11-01,102.4,102.6,87.3,97.3,104.3,103.8
2020-12-01,107.8,133.1,90.7,103.8,108.6,105.5
2021-01-01,109.9,112.3,102.1,97.8,93.4,109.7
2021-02-01,108.7,112.6,100.4,102,92.3,109.9
2021-03-01,115.5,117.5,102.9,102.1,105.7,107.5
2021-04-01,119.3,130.2,113.3,107,134.9,117
2021-05-01,111.5,119.1,114.7,98.4,123.4,115.6
2021-06-01,111.6,116.6,115.5,107.5,127.1,112.4
2021-07-01,105,122.7,116.5,113.2,118.8,112.2
2021-08-01,105.3,113.2,118.1,113,116,105.7
2021-09-01,116.7,115.2,116.2,105.3,110.4,103.4
2021-10-01,103.9,117.5,117.8,105.7,109.7,100.6
2021-11-01,106.9,121.7,117.2,121,109.4,100.2
2021-12-01,94.4,108.8,109.1,117.3,117.6,99.7
2022-01-01,114.8,111,112,115.7,132.4,101.7
2022-02-01,108.8,112.4,113.6,109.2,118.2,104.5
2022-03-01,101.6,108.3,99,106.1,105.1,104.4
2022-04-01,97.8,99.2,92.9,93.3,103.3,99
2022-05-01,102.1,99.9,92.9,108.2,96.7,96.9
2022-06-01,82.9,92.6,104.6,77.2,91,76.4
2022-07-01,86.5,99.4,102.1,116,86.7,84.8
2022-08-01,103.9,102.6,104.8,114.8,117,107.8
2022-09-01,107.9,103.9,105.1,98,100.6,111.9
