date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2017-01-01,101.7,107.3,113.6,102.9,102,97.1
2017-02-01,101.8,99,105.9,94.4,98.4,97.8
2017-03-01,103.6,98.7,99.8,100.1,100.7,98.2
2017-04-01,102.6,100.8,99.6,96.9,102.5,97.3
2017-05-01,102.3,103.4,96.8,99.3,102.1,100.2
2017-06-01,102.9,100.6,96.8,104.1,101.4,99.6
2017-07-01,102.8,100,97,99.7,101.1,98.4
2017-08-01,102.1,99.3,103.4,98,100.7,98.3
2017-09-01,103.8,100,108.5,98.4,101.5,97.7
2017-10-01,100.5,98.6,105,100.8,101.1,99.8
2017-11-01,103.5,97.4,103.4,99.9,98.2,99.7
2017-12-01,100.8,102.4,105.4,101.9,103.1,102.7
2018-01-01,100.4,102.2,110.1,98.5,100.2,101.4
2018-02-01,102.1,98.8,108.7,99.6,102.1,101.4
2018-03-01,100,102.8,109.9,99.3,100.6,102.7
2018-04-01,102.8,102.2,107.8,101.9,101.7,106.2
2018-05-01,101.4,100.3,111.9,100.8,103.3,107.2
2018-06-01,103.6,100.8,112.2,96.4,100.2,104.6
2018-07-01,103.2,101.6,114.7,100.6,99.8,108
2018-08-01,104.3,99.7,110.3,102.9,99.5,104.6
2018-09-01,103.5,98.7,110.6,101.5,98.5,105.1
2018-10-01,105.1,102.2,110,100.4,99.1,103.9
2018-11-01,103.9,102,111.1,101.2,100.5,107.5
2018-12-01,105,98.8,112.8,100.5,101.8,104.8
2019-01-01,104.8,105.7,100.5,100.3,101.8,104.8
2019-02-01,104.8,110.6,101.4,98.6,102.6,106
2019-03-01,104.8,106.4,107.3,99.7,101,103.1
2019-04-01,104.8,108,102.5,99.8,102.2,104.3
2019-05-01,104.6,107,106.9,99.8,100.4,103.6
2019-06-01,104.2,106.7,116.8,99.2,102.4,104.3
2019-07-01,103,108.2,106.3,103.6,99.2,100.1
2019-08-01,102.6,108.7,101.9,99.2,103.3,101.7
2019-09-01,103.9,108.7,100.6,100,107.3,102.4
2019-10-01,104.3,107,105.2,96.2,104.1,104.7
2019-11-01,104.1,107.7,98.1,97.9,103.3,104.5
2019-12-01,103.5,105.2,95.1,100.2,104.3,107.9
2020-01-01,103,93.7,106.9,90.5,107.5,105.7
2020-02-01,102.6,94.4,106.3,93.5,105.3,101.2
2020-03-01,99,88.5,98.8,90.6,97.8,99.7
2020-04-01,60.2,51.2,53.9,77.5,62.5,74.8
2020-05-01,63.4,56.1,50.7,71.9,65.9,77.6
2020-06-01,76.3,79.8,59.6,73,74.9,82.4
2020-07-01,92.9,83.4,97.8,71.2,82.1,92.1
2020-08-01,95.4,88.3,107.3,73.7,87.5,99.9
2020-09-01,94.6,93,111.5,79.1,95.3,102.3
2020-10-01,92.5,94.7,103.6,82.8,94.7,100.5
2020-11-01,92.1,94.2,98,82.3,96.8,100.1
2020-12-01,99.4,100.1,101.2,83.6,101.1,101.9
2021-01-01,99.8,95.2,100,98.9,90.9,99.1
2021-02-01,100.1,96.4,102.3,99.3,95.6,103.2
2021-03-01,105.9,107.2,109.8,102.4,106.1,108.1
2021-04-01,172.6,201.8,213.1,119.3,162.2,141.7
2021-05-01,160.2,180.5,215.1,117.2,150.7,134.4
2021-06-01,128.4,130.2,173,111.2,132.8,126
2021-07-01,110.9,122.3,109.1,102.5,123.3,115.1
2021-08-01,107.9,117.3,102.6,102.6,112.5,110.3
2021-09-01,107.2,113.4,102.5,101.2,105.2,108.7
2021-10-01,110.2,109.7,108.3,101,105.2,106.6
2021-11-01,109.8,111.3,116.5,102.3,105,106.5
2021-12-01,105.2,105.5,110.9,106.3,104.1,103.8
2022-01-01,103.8,118.1,110.5,104.3,107.8,100.7
2022-02-01,103.5,117.4,106.4,106.2,103.8,101.8
2022-03-01,104.9,115.4,102.8,103.4,101.8,100.4
2022-04-01,104,102.5,100.1,98.8,102.8,98.6
2022-05-01,104.9,97.7,102.3,101,104.7,98.9
2022-06-01,106.6,97.5,103.7,99,106,101
2022-07-01,102.8,95.7,102,102.7,104.6,102
2022-08-01,106.1,99.1,103.4,105.6,104.3,101.3
2022-09-01,106.3,97.2,101.2,105.1,101.8,97.2
