date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2017-01-01,89274,246088,145369,85466,102889,99967
2017-04-01,88962,246705,145718,85047,101167,99298
2017-07-01,88849,244709,143064,84682,97319,98159
2017-10-01,87817,239276,141322,82728,94700,98305
2018-01-01,87583,232417,140075,82031,93361,96729
2018-04-01,87884,231341,137959,82148,92061,95379
2018-07-01,87635,227953,136164,82496,91131,94750
2018-10-01,86543,217443,135825,81538,88896,89244
2019-01-01,84570,213406,130018,81408,88813,89034
2019-04-01,83388,212631,122926,80966,86094,84032
2019-07-01,83235,209138,120921,79144,84488,81699
2019-10-01,82455,207485,118146,78952,83275,80405
2020-01-01,80478,205503,116613,78880,82119,80071
2020-04-01,78319,203564,114876,78349,81478,79149
2020-07-01,76973,196841,113313,77806,79952,77867
2020-10-01,75575,192674,111280,77126,78321,75723
2021-01-01,74465,191423,110107,76306,77291,74000
2021-04-01,73363,191442,109900,75845,76770,73903
2021-07-01,72527,189168,108137,74690,74681,73613
2021-10-01,70966,188323,107721,73496,73419,72961
2022-01-01,69613,187232,107132,71735,72546,73066
2022-04-01,68088,186278,106374,70537,71638,72902
