date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2017-01-01,"2 099,9","4 064,2","2 818,3","1 948,6","1 774,8","1 850,6"
2017-04-01,"2 144,9","4 085,9","2 763,9","1 953,1","1 772,4","1 857,2"
2017-07-01,"2 142,9","4 111,1","2 786,2","2 053,3","1 772,1","1 868,7"
2017-10-01,"2 184,2","4 128,8","2 773,7",2 025,"1 770,9","1 876,6"
2018-01-01,"2 150,7","4 133,2","2 801,9","1 955,3","1 762,1","1 876,2"
2018-04-01,"2 114,5","4 139,4","2 775,6","1 967,6","1 760,8","1 877,2"
2018-07-01,"2 154,7",4 135,"2 831,6",1 964,"1 757,1","1 874,7"
2018-10-01,"2 110,3","4 193,7","2 880,2","1 934,3","1 760,3","1 871,6"
2019-01-01,"2 070,5","4 153,5","2 742,3","1 894,6","1 752,2","1 874,4"
2019-04-01,"2 100,5","4 093,7","2 811,5","1 897,6","1 753,8","1 876,4"
2019-07-01,"2 099,3","4 247,5","2 852,1","1 876,5","1 756,3","1 873,5"
2019-10-01,"2 117,9","4 263,1","2 820,5","1 914,9",1 753,"1 874,3"
2020-01-01,"2 109,1","4 218,5","2 835,4","1 844,7","1 741,5","1 865,1"
2020-04-01,"2 115,4",4 112,"2 852,5","1 890,7","1 734,9","1 856,7"
2020-07-01,"2 104,7",4 140,"2 769,8",1 938,"1 736,5","1 848,8"
2020-10-01,"2 113,4","4 144,5","2 826,4","1 930,3","1 736,4","1 847,9"
2021-01-01,"2 110,6","4 143,5","2 821,4","1 932,3","1 728,6","1 843,6"
2021-04-01,"2 139,3","4 138,1",2 784,"1 907,1",1 733,"1 853,8"
2021-07-01,"2 146,9","4 139,1",2 814,"1 900,7","1 742,2","1 860,1"
2021-10-01,"2 134,1","4 136,9","2 859,6",1 911,"1 749,1","1 857,1"
2022-01-01,"2 136,7","4 157,4","2 798,5",1 928,"1 706,9","1 738,1"
2022-04-01,2157.6,4158.7,2809.6,1900.1,1732.3,1790.1
