date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2016-01-01,28.4,51.7,27,13.5,18.7,16.2
2016-04-01,28.5,53.8,28,15.2,20.4,16.7
2016-07-01,28.6,51.6,27.9,14.2,19.5,15.6
2016-10-01,28.8,48.7,26.2,13.9,17.8,15.4
2017-01-01,30.5,48.1,28,14.4,19.1,14.9
2017-04-01,30.7,56.1,31.1,13.6,20.3,16.4
2017-07-01,31.6,60.1,30.1,13.4,20,17.1
2017-10-01,29.3,59.5,27.2,12.1,20.8,16.3
2018-01-01,30.8,60.5,31.4,12.9,21,17.3
2018-04-01,30.9,68.3,35.5,14.4,22.8,19.8
2018-07-01,31.9,72,34.9,15,22.6,20.9
2018-10-01,31.4,65.8,30.9,14.6,20.3,19.8
2019-01-01,33.3,69.4,33.5,16.1,22,19.8
2019-04-01,35,78.7,37.8,17.5,25.7,22
2019-07-01,35.6,82.9,37.6,18,26.2,22
2019-10-01,34.5,80.7,35.1,16.9,26.3,20.9
2020-01-01,38.2,82.7,36,17.2,26.2,20.7
2020-04-01,38.4,99.1,42.8,18.1,32.1,23.3
2020-07-01,38.2,109.1,44.4,19.4,33,24.5
2020-10-01,46.2,117.7,45.9,21.1,34.9,27.8
2021-01-01,44.1,115.2,49.5,22.1,37.3,28.3
2021-04-01,48.5,129.6,60.2,23.6,39.8,31.8
2021-07-01,51.5,137.1,65.6,27.5,44,33.8
2021-10-01,52.2,144.9,60.9,26.3,45.7,35.5
2022-01-01,51.7,133.1,64.7,26.9,43.6,35.4
2022-04-01,54.6,144.7,68.4,28.3,48.5,37.6
