date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2010-01-01,4229.5,6752.7,5160.7,4066,3323.6,3508.4
2011-01-01,4276.4,7104,5229.2,4071.9,3307.6,3478.1
2012-01-01,4260.6,7198.7,5284.5,4064.3,3296.9,3480.1
2013-01-01,4254.6,7048.1,5330.2,4060.9,3289.8,3485.3
2014-01-01,4245.6,7133.6,5404.3,4069.7,3281.5,3490.1
2015-01-01,4242.1,7231.1,5453.3,4072,3270.2,3497.3
2016-01-01,4236,7318.6,5513.8,4071.1,3260.3,3500.7
2017-01-01,4231.3,7423.5,5570.9,4067,3247.7,3502.3
2018-01-01,4220.4,7503.4,5603.4,4063.3,3234.8,3493
2019-01-01,4202.3,7599.7,5648.2,4051,3214.6,3475.7
2020-01-01,4197.8,7690.9,5675.5,4038.1,3203,3466.3
2021-01-01,"4 181,5","7 708,5","5 683,9","4 013,8","3 176,5","3 442,8"
