date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2000-01-01,326991,685595,516894,432691,310779,431751
2001-01-01,400418,811641,576533,511544,359901,452066
2002-01-01,477972,1007563,666157,581436,477952,552661
2003-01-01,600908,1282486,780300,672147,560961,749383
2004-01-01,649308,1431287,896631,721830,606193,812580
2005-01-01,746866,1762773,1079840,868425,688092,892723
2006-01-01,830392,2143837,1114617,974675,834981,994376
2007-01-01,1007353,2932730,1385585,1153973,1036892,1301726
2008-01-01,1165933,3459831,1645865,1326927,1229632,1480946
2009-01-01,1331221,3939219,1870428,1485177,1388587,1547629
2010-01-01,1514042,4442527,2139060,1604725,1578659,1687909
2011-01-01,1751414,5012245,2471453,1703359,1731930,1869475
2012-01-01,1880446,5109551,2821779,1799031,1947537,2014284
2013-01-01,2003572,5538512,3639608,2105770,2137855,2161005
2014-01-01,2085372,6072686,4208926,2306755,2381528,2408313
2015-01-01,2355619,6635124,4770758,2519215,2579755,2622699
2016-01-01,2583782,7237874,5481558,2868186,2790966,2922430
2017-01-01,2786870,8044098,5937791,3121321,2918512,3048722
2018-01-01,3049823,8981281,6260527,3380216,3068010,3237476
2019-01-01,6831010,23768046,13982416,6522045,5632296,5578384
2020-01-01,7018721,27739726,13020366,6698420,5857122,5810079
2021-01-01,7444950,29829147,13932527,7125795,6197508,6257635
