date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2004-01-01,42.4,35.9,38.6,42.8,43.2,46.2
2005-01-01,44.4,39.4,35.6,45.1,43.1,47.5
2006-01-01,44.3,40,36.2,43.2,43.5,47.9
2007-01-01,43.4,40,38.5,43.9,44.5,48.4
2008-01-01,42.2,40.5,38.6,43.3,46.2,48.5
2009-01-01,42,41.4,39.2,43.6,46.1,48.9
2010-01-01,42.5,42.2,40.3,45.4,46.8,49.6
2011-01-01,41.3,40.9,35.2,52,26.3,49.7
2012-01-01,43.9,44,39.9,50.7,48.7,51
2013-01-01,43.9,45.2,34.6,50.4,49.7,51.4
2014-01-01,42.7,46.4,33.7,51.6,45.7,50.7
2015-01-01,41.3,40.9,35.2,52,26.3,49.7
2016-01-01,41.7,42.2,35.4,51.9,42.1,50.1
2017-01-01,42,37.8,37.2,51.3,49.1,47.8
2018-01-01,41.2,38.9,37.3,48.8,50.2,48.4
2019-01-01,37,24.1,26.5,43.2,41.6,41.7
2020-01-01,38.9,25.9,28.6,43.9,42.5,42.1
2021-01-01,40.2,28.2,32.2,44,44.2,43
