date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2008-01-01,29.82,149.43,66.21,13.87,19.51,9.78
2009-01-01,19.78,141.8,51.02,16.76,15.19,4.29
2010-01-01,15.7,161.47,43.81,2.22,11.44,-7.8
2011-01-01,-0.61,160.08,117.01,-23.07,21.13,18.9
2012-01-01,8.53,156.51,87.31,-21.77,21.2,13.38
2013-01-01,-0.33,139.5,135.09,6.95,15.16,11.8
2014-01-01,11.54,148.63,84.36,-10.91,5.44,16.43
2015-01-01,3.78,120.42,105.29,-14.56,2.15,9.62
2016-01-01,11.89,140.74,100.51,-18.16,-3.48,7.64
2017-01-01,4.51,111.34,62.54,-6.41,1.84,-10.98
2018-01-01,-5.68,139.68,84.56,-21.83,-11.57,-25.69
2019-01-01,32.2,144.1,63.5,-13.6,20,5.2
2020-01-01,28.5,65.7,55.1,-12.9,3.9,-4.4
2021-01-01,36,146.1,71.5,36.3,14.1,8.6
