date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2008-01-01,33.6,29.3,41.4,27.4,35.2,27.2
2009-01-01,30.7,25,43.8,22.9,36.9,26.1
2010-01-01,24.1,21.5,57.3,20.2,29.4,23.1
2011-01-01,21.7,20.7,57.2,20,29.1,22.8
2012-01-01,24.6,21.9,54.7,20.3,30.6,22.9
2013-01-01,27.6,23.1,57.4,22.9,30.4,24.4
2014-01-01,26.2,23.5,42,22.5,27.4,22.9
2015-01-01,26,19.6,30.4,24.1,21.3,18
2016-01-01,21.4,14.8,19.3,25,18.1,14.9
2017-01-01,22.5,16.3,20.8,18.7,17.7,14
2018-01-01,17.1,20.4,20.6,15.4,17.3,16.8
2019-01-01,17.4,21,18.5,18.7,18.3,19.4
2020-01-01,19.4,20.5,19.2,22.2,23.4,19.9
