date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2017-01-01,7,9.6,8,8.7,6.5,6.5
2017-02-01,6.7,6.5,6.4,8.6,7.5,6.8
2017-03-01,7.2,7.3,8.1,10.5,9.9,9.1
2017-04-01,6,6.6,6.7,9.4,8,8.9
2017-05-01,5.9,6.1,6.4,7.6,7.6,7.8
2017-06-01,5.9,6.3,5.9,8.4,7.8,7
2017-07-01,7.3,5.6,6.7,8.6,7,7.2
2017-08-01,7.1,5.8,6.8,7.8,7.6,7.5
2017-09-01,5.4,4.8,6.5,7.2,6.7,7.4
2017-10-01,6.4,5.7,6.6,8.6,6.9,8.5
2017-11-01,6.3,5.3,5.9,8.5,7.5,7.3
2017-12-01,5.5,5,5.3,9.4,6.7,6.1
2018-01-01,4.4,4.9,4.7,6.7,5.5,3.9
2018-02-01,6.1,5.6,6.2,9.4,7.7,5.9
2018-03-01,5.3,6.1,6.6,9,7.3,4.6
2018-04-01,6.6,6.6,6.1,9,7.5,5.8
2018-05-01,5.5,6.6,5.2,7,4.8,4.3
2018-06-01,5,6.1,6.1,6.8,6.6,4.3
2018-07-01,5.7,6.5,5.8,7.7,6.2,4.8
2018-08-01,4.8,6.7,6,7.7,5.5,4.4
2018-09-01,4.7,6.4,5.7,7.1,5.5,3.6
2018-10-01,5.7,8.4,6.8,9.3,6.5,4.9
2018-11-01,5.9,7.1,5.8,8.4,7.1,4.6
2018-12-01,5.3,7.7,5.7,9.7,7.4,5.4
2019-01-01,3.8,5.8,3.3,5.6,3.5,3.6
2019-02-01,6.8,10.1,7.1,11.6,8.7,6.3
2019-03-01,5.6,9,6.9,8.7,7.5,5.5
2019-04-01,6.3,9.9,6.6,10.1,7.5,6
2019-05-01,4.2,6.7,5.6,6.5,5.4,4.7
2019-06-01,5,6.7,5.5,6.5,5.9,4.7
2019-07-01,6.4,8,7,8.1,5.8,5.9
2019-08-01,6.1,7.5,6.3,8.3,6.4,5.6
2019-09-01,5.2,8.7,5.6,8.9,6.1,6.2
2019-10-01,5,8.4,5.7,10.8,7.8,6.3
2019-11-01,5.7,6.6,6.2,11.7,7,5.3
2019-12-01,6.5,6.3,5.8,12.7,6.2,5.6
2020-01-01,4.6,5.7,4.6,9,5.4,3.8
2020-02-01,8.7,6.1,5.1,9.3,6.3,6.7
2020-03-01,7.2,6.5,5.6,10.4,7.4,6.3
2020-04-01,2.9,3.9,4,4.7,4.3,4.3
2020-05-01,2.4,3,2.8,5,3.3,3.9
2020-06-01,4.4,4.4,5,8.2,4.4,4
2020-07-01,4.7,7.8,6.3,9.5,5.9,5.8
2020-08-01,4.8,6.4,6.1,8.9,5.2,5.2
2020-09-01,4.7,6.4,5.4,9.1,5.6,4.8
2020-10-01,4,7.1,5.6,8.1,6.1,5.3
2020-11-01,5,6.8,5.6,8.7,5.8,5.4
2020-12-01,3.9,6.5,4.9,8.8,5.4,4.9
2021-01-01,2.4,4.1,4.1,4.8,4.1,3.8
2021-02-01,4.5,6.4,5.2,9.9,5.5,6.3
2021-03-01,5.7,8.4,7.3,9.8,6.9,6.7
2021-04-01,5.4,8.3,7.6,9.7,6.1,6.4
2021-05-01,3.5,6.6,5.8,5.3,4.3,4.5
2021-06-01,4.6,6.9,5.8,6.6,5.8,5.4
2021-07-01,4.2,6.6,6,5.3,4.7,5.7
2021-08-01,4.4,6.5,6.7,6.3,5.4,5.5
2021-09-01,4.7,6.7,5.8,5.5,4.7,5.4
2021-10-01,4.4,7.1,6,4.7,5.3,5.3
2021-11-01,3.8,6.8,5.8,5.2,5.6,5.4
2021-12-01,4.7,6.5,5.6,5.3,6.7,6.4
2022-01-01,3,5.4,4.1,3.9,3.2,4.6
2022-02-01,4.7,6.6,5.6,6.1,5.2,5.5
2022-03-01,4.8,7,6.7,5.8,6.5,6.2
2022-04-01,4.4,7.8,6.9,6.4,7.5,7
2022-05-01,3.8806549351482857,6.771819479545042,5.247707126136843,4.779350900806875,5.140913577266369,4.625411731726119
2022-06-01,4.9,7.5,5.8,5.5,5.4,5.7
2022-07-01,4.556431402925229,8.14190013832009,5.737151672934143,5.233394874180465,5.988708640034303,6.158075987010528
2022-08-01,5.456421229605288,9.016180388589252,6.75175685936903,6.159370051157801,6.527620710880799,6.967126936286536
2022-09-01,4.690359389176804,9.357913163752675,6.613750200012607,5.859547096660498,6.051067560672373,6.869534802378454
