date,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year
2018-01-02,1,1,2018,2,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415612,301.67265843621396,2186.2792263374486,1504.6311440329218,36971.79239506172,94335.01003292181,94237.30040329219,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0
2018-01-03,1,1,2018,3,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415612,301.67265843621396,2186.2792263374486,1504.6311440329218,36971.79239506172,94335.01003292181,94237.30040329219,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0
2018-01-04,1,1,2018,4,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415612,301.67265843621396,2186.2792263374486,1504.6311440329218,36971.79239506172,94335.01003292181,94237.30040329219,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0
2018-01-05,1,1,2018,5,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415612,301.67265843621396,2186.2792263374486,1504.6311440329218,36971.79239506172,94335.01003292181,94237.30040329219,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0
2018-01-06,1,1,2018,6,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415612,301.67265843621396,2186.2792263374486,1504.6311440329218,36971.79239506172,94335.01003292181,94237.30040329219,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0
2018-01-07,1,1,2018,7,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415612,301.67265843621396,2186.2792263374486,1504.6311440329218,36971.79239506172,94335.01003292181,94237.30040329219,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0
2018-01-08,1,1,2018,8,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415612,301.67265843621396,2186.2792263374486,1504.6311440329218,36971.79239506172,94335.01003292181,94237.30040329219,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0
2018-01-09,1,1,2018,9,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415612,301.67265843621396,2186.2792263374486,1504.6311440329218,36971.79239506172,94335.01003292181,94237.30040329219,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0
2018-01-10,1,1,2018,10,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415612,301.67265843621396,2186.2792263374486,1504.6311440329218,36971.79239506172,94335.01003292181,94237.30040329219,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0
2018-01-11,1,1,2018,11,53.0,2267575.7054920928,23150.166908563137,1266.9,35150.528380634394,763.0,2089.0,40659207.76,14186119.64,23377795.5,2685525.49,534.0950031894535,139.1969347041314,42.85,39.55,39.53,21978677.0,5494683.0,150.2002732044287,108.44420301415612,301.67265843621396,2186.2792263374486,1504.6311440329218,36971.79239506172,94335.01003292181,94237.30040329219,33.3,71.21905018158236,129.18984342990038,149.38127777625837,101.18777506567541,16.757099280816025,509.0
