date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2016-01-01,70.5,78.7,65,71.1,79.9,71.6
2016-02-01,97.7,102.1,103.1,90.9,98.6,100.8
2016-03-01,106.2,106.8,99.7,91.1,106,105
2016-04-01,100.6,99.4,92.1,102.1,100.4,97.9
2016-05-01,101.2,101.3,105.4,104.7,100.3,101.9
2016-06-01,102.7,101.1,104.8,110.2,100.4,99.8
2016-07-01,103.7,101.3,110.8,125.2,99.4,102
2016-08-01,104.4,100.5,112.1,104.6,100.1,102.5
2016-09-01,97.2,96.6,96.2,104.9,97,96.3
2016-10-01,101.2,100.2,95.3,99.8,101.6,101.2
2016-11-01,98.3,97.9,108.9,100.1,96.8,98.2
2016-12-01,120.3,115.1,129.2,106.6,113.4,112.1
2017-01-01,71.4,79.3,66.3,70.6,89.4,80.8
2017-02-01,98.5,103.7,96.3,90.6,96.9,93.8
2017-03-01,107.2,111,103.2,100.2,105.3,110.5
2017-04-01,99.4,96.5,94,96.2,100.7,98.9
2017-05-01,102,103.9,101.3,104.9,102.9,103.3
2017-06-01,103.5,99.5,108.3,104,100.8,100.5
2017-07-01,104.3,102.8,111.5,127.2,102.5,103.8
2017-08-01,104.9,102.9,114.4,104.6,95.1,102.3
2017-09-01,98.8,98.4,97.8,104.8,103.7,97.6
2017-10-01,100.5,102,90.9,103.2,100.7,101.4
2017-11-01,99.4,100.4,94.4,100.6,96.4,100.5
2017-12-01,120.1,123.3,131.7,105.6,111.4,117.1
2018-01-01,71.6,74,70.1,70.9,86,79.3
2018-02-01,98.7,95.8,95.6,90.7,97.3,95.9
2018-03-01,107.5,114.8,104.9,100.3,109.8,104.6
2018-04-01,99.5,100.7,95.4,97,98.3,101.8
2018-05-01,102.6,102.4,100.6,104.3,105.6,103.2
2018-06-01,103.1,101.6,108.7,104.7,102.1,101.6
2018-07-01,104.8,100,114.6,115.8,96.4,104.3
2018-08-01,105.2,103.1,112,108.4,100.6,100.4
2018-09-01,97.4,98.7,96.9,109.2,95.4,96
2018-10-01,100.2,100.3,90.8,104.4,103.9,101.4
2018-11-01,99.1,100.4,92.4,100.1,101.9,99.8
2018-12-01,118.2,117.8,128.1,105,111,114.6
2019-01-01,71.9,73.8,72.4,71.1,81.5,82.3
2019-02-01,98.9,99.3,96.1,90.8,98.7,98.3
2019-03-01,109.1,115.1,104.6,100.3,109,107.3
2019-04-01,98.4,98.6,97.8,97.4,98.1,96.2
2019-05-01,102,103.3,100.8,104,104.5,103.4
2019-06-01,103.6,100.6,107.7,103.8,100.8,99.8
2019-07-01,104.8,101.4,112.2,110.1,101.7,103.6
2019-08-01,104.4,102,113.2,108,101,101.7
2019-09-01,98.6,96.4,95.9,109.7,95.8,95.5
2019-10-01,100.2,101.9,92.9,108.2,99.7,102.5
2019-11-01,100.1,101.5,93.2,101.7,100.4,99.5
2019-12-01,117.2,114.8,122,106.1,112.4,117.5
2020-01-01,73.1,61,76,70,84,82.4
2020-02-01,100.3,100.2,97,91.2,101.1,100.6
2020-03-01,110.5,119.6,119.8,106.5,110.4,113.3
2020-04-01,61.5,66.6,54,63.4,68.6,75.2
2020-05-01,109.3,110.9,111.6,118.4,108.8,108.1
2020-06-01,139.6,120.5,126.9,124.1,113.3,109.5
2020-07-01,109.1,108.4,124.6,107.1,109.4,116.9
2020-08-01,106.8,99.4,114.6,108.3,98.8,98.5
2020-09-01,96.3,95.3,96.9,109.7,96.4,94.1
2020-10-01,101.2,105,97.2,108.4,102.5,103.5
2020-11-01,99,97.9,87.3,101.7,95.4,98.4
2020-12-01,117.7,116.4,123.7,107.9,113.9,117.6
2021-01-01,75.5,82.9,87.8,74,84.1,79.4
2021-02-01,98.2,95,96.8,89.6,97,96.4
2021-03-01,108.3,115.6,103.9,107.1,109,110.5
2021-04-01,98.9,102.5,104.1,101.6,103.1,101.6
2021-05-01,101.6,101.6,102.7,100.2,102.9,103.7
2021-06-01,101.3,97.6,104.6,100.5,102.6,99.2
2021-07-01,108,101.7,110.5,100.7,105.6,103.4
2021-08-01,107.4,101.5,104.6,107.5,101.2,100.8
2021-09-01,97,97,93.9,99.7,97.8,95.8
2021-10-01,98.1,100.1,96.1,97.5,100.1,103.7
2021-11-01,97.7,95,93.6,120.2,95.4,94.5
2021-12-01,113.4,119.4,117.2,115,111.4,119.4
2022-01-01,78.5,76.9,79.6,71.3,85.4,84.4
2022-02-01,98.7,103.9,96.6,92.4,98.7,96.3
2022-03-01,106.3,104.7,103.9,106.9,104.4,105.2
2022-04-01,90.9,81.2,92.7,99.3,88.2,93
2022-05-01,101.5,103.9,102.1,99.7,101.7,102.5
2022-06-01,102.5,101.5,106.4,82.9,102.8,100.9
2022-07-01,107.2,105.3,113.6,106.4,103.3,106.9
2022-08-01,106.5,101.8,109.2,107.8,100.9,101.9
2022-09-01,100,93.7,92.4,95.6,96.3,95.2
