date,quarter,month,year,split,Полный_плановый_объем_потребления_электроэнергии_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year
2018-01-02,1,1,2018,2,1556761.5010790739,682.3,621.9,3023.0,26878.79411764706,1074.0,518.0,1647.0,31337510.53,2184482.26,22659326.52,5965564.18,402.107958782148,148.93217476560142,39.15098814229262,42.35661605206064,40.07005347593546,16430294.5,5947027.0,133.2885959327237,106.04646358965182,8393.39981245722,107959.51228099175,71.77347273723343,133.86134389673379,134.04251574853083,90.2426495573536,17.210063792210605,773.0
2018-01-03,1,1,2018,3,1556761.5010790739,682.3,621.9,3023.0,26878.79411764706,1074.0,518.0,1647.0,31337510.53,2184482.26,22659326.52,5965564.18,402.107958782148,148.93217476560142,39.15098814229262,42.35661605206064,40.07005347593546,16430294.5,5947027.0,133.2885959327237,106.04646358965182,8393.39981245722,107959.51228099175,71.77347273723343,133.86134389673379,134.04251574853083,90.2426495573536,17.210063792210605,773.0
2018-01-04,1,1,2018,4,1556761.5010790739,682.3,621.9,3023.0,26878.79411764706,1074.0,518.0,1647.0,31337510.53,2184482.26,22659326.52,5965564.18,402.107958782148,148.93217476560142,39.15098814229262,42.35661605206064,40.07005347593546,16430294.5,5947027.0,133.2885959327237,106.04646358965182,8393.39981245722,107959.51228099175,71.77347273723343,133.86134389673379,134.04251574853083,90.2426495573536,17.210063792210605,773.0
2018-01-05,1,1,2018,5,1556761.5010790739,682.3,621.9,3023.0,26878.79411764706,1074.0,518.0,1647.0,31337510.53,2184482.26,22659326.52,5965564.18,402.107958782148,148.93217476560142,39.15098814229262,42.35661605206064,40.07005347593546,16430294.5,5947027.0,133.2885959327237,106.04646358965182,8393.39981245722,107959.51228099175,71.77347273723343,133.86134389673379,134.04251574853083,90.2426495573536,17.210063792210605,773.0
2018-01-06,1,1,2018,6,1556761.5010790739,682.3,621.9,3023.0,26878.79411764706,1074.0,518.0,1647.0,31337510.53,2184482.26,22659326.52,5965564.18,402.107958782148,148.93217476560142,39.15098814229262,42.35661605206064,40.07005347593546,16430294.5,5947027.0,133.2885959327237,106.04646358965182,8393.39981245722,107959.51228099175,71.77347273723343,133.86134389673379,134.04251574853083,90.2426495573536,17.210063792210605,773.0
2018-01-07,1,1,2018,7,1556761.5010790739,682.3,621.9,3023.0,26878.79411764706,1074.0,518.0,1647.0,31337510.53,2184482.26,22659326.52,5965564.18,402.107958782148,148.93217476560142,39.15098814229262,42.35661605206064,40.07005347593546,16430294.5,5947027.0,133.2885959327237,106.04646358965182,8393.39981245722,107959.51228099175,71.77347273723343,133.86134389673379,134.04251574853083,90.2426495573536,17.210063792210605,773.0
2018-01-08,1,1,2018,8,1556761.5010790739,682.3,621.9,3023.0,26878.79411764706,1074.0,518.0,1647.0,31337510.53,2184482.26,22659326.52,5965564.18,402.107958782148,148.93217476560142,39.15098814229262,42.35661605206064,40.07005347593546,16430294.5,5947027.0,133.2885959327237,106.04646358965182,8393.39981245722,107959.51228099175,71.77347273723343,133.86134389673379,134.04251574853083,90.2426495573536,17.210063792210605,773.0
2018-01-09,1,1,2018,9,1556761.5010790739,682.3,621.9,3023.0,26878.79411764706,1074.0,518.0,1647.0,31337510.53,2184482.26,22659326.52,5965564.18,402.107958782148,148.93217476560142,39.15098814229262,42.35661605206064,40.07005347593546,16430294.5,5947027.0,133.2885959327237,106.04646358965182,8393.39981245722,107959.51228099175,71.77347273723343,133.86134389673379,134.04251574853083,90.2426495573536,17.210063792210605,773.0
2018-01-10,1,1,2018,10,1556761.5010790739,682.3,621.9,3023.0,26878.79411764706,1074.0,518.0,1647.0,31337510.53,2184482.26,22659326.52,5965564.18,402.107958782148,148.93217476560142,39.15098814229262,42.35661605206064,40.07005347593546,16430294.5,5947027.0,133.2885959327237,106.04646358965182,8393.39981245722,107959.51228099175,71.77347273723343,133.86134389673379,134.04251574853083,90.2426495573536,17.210063792210605,773.0
2018-01-11,1,1,2018,11,1556761.5010790739,682.3,621.9,3023.0,26878.79411764706,1074.0,518.0,1647.0,31337510.53,2184482.26,22659326.52,5965564.18,402.107958782148,148.93217476560142,39.15098814229262,42.35661605206064,40.07005347593546,16430294.5,5947027.0,133.2885959327237,106.04646358965182,8393.39981245722,107959.51228099175,71.77347273723343,133.86134389673379,134.04251574853083,90.2426495573536,17.210063792210605,773.0
