date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2017-01-01,"1 974,9","3 929,5","2 652,4","1 833,5","1 698,5","1 717,9"
2017-04-01,"2 023,5","3 945,1","2 604,6","1 845,5","1 697,1","1 729,3"
2017-07-01,"2 023,1","3 980,8","2 633,8",1 942,"1 697,7","1 748,2"
2017-10-01,"2 068,9","4 010,4","2 617,9","1 913,1","1 696,3","1 763,6"
2018-01-01,"2 036,3","4 013,5",2 645,"1 849,9","1 687,3","1 768,1"
2018-04-01,"2 005,5","4 031,4","2 629,7",1 874,"1 687,2",1 771
2018-07-01,"2 046,6","4 027,6",2 694,"1 868,5","1 686,2",1 771
2018-10-01,"2 004,9","4 086,6",2 739,"1 844,8","1 687,1","1 768,3"
2019-01-01,"1 971,2","4 039,1","2 606,3","1 808,3","1 679,5","1 776,1"
2019-04-01,"1 998,4",3 981,"2 676,7","1 812,4","1 683,1","1 780,9"
2019-07-01,"1 997,7","4 131,6",2 717,"1 797,9","1 685,8",1 779
2019-10-01,2 016,"4 149,6","2 683,7","1 829,9","1 681,2","1 782,2"
2020-01-01,"2 014,8",4 110,"2 698,8","1 758,9","1 669,1","1 774,2"
2020-04-01,"2 004,7","3 956,6","2 671,8",1 773,"1 653,9","1 730,2"
2020-07-01,"1 999,1","3 973,2","2 607,2","1 811,2",1 653,1 701
2020-10-01,"1 998,3","3 973,9","2 666,2","1 813,9","1 653,4","1 709,6"
2021-01-01,"2 009,2","3 981,8","2 664,5","1 836,1","1 647,1","1 720,4"
2021-04-01,"2 058,7",3 993,"2 638,8","1 820,1","1 655,2","1 755,4"
2021-07-01,"2 066,1","4 007,7","2 679,4","1 824,7","1 675,8","1 785,7"
2021-10-01,"2 053,3","4 013,2","2 727,4","1 837,6","1 682,4","1 787,1"
