date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2015-01-01,18557,20644,19002,23780,9190,27995
2015-02-01,19761,22733,20524,25826,10049,31184
2015-03-01,19488,23725,20360,25916,10163,32004
2015-04-01,20198,24772,20371,26009,10455,32759
2015-05-01,19945,24917,19304,25369,10309,31239
2015-06-01,19145,24777,17798,24743,9994,30064
2015-07-01,19681,25613,17636,25187,10138,30479
2015-08-01,19349,25578,17173,24976,9925,30112
2015-09-01,18759,25769,16741,24302,9443,29169
2015-10-01,17923,26280,16912,24227,9641,29624
2015-11-01,18483,27505,17742,25383,10078,31370
2015-12-01,19973,29600,20177,26078,11079,34601
2016-01-01,20055,30089,20414,26943,11464,34861
2016-02-01,20453,30656,21733,28123,12060,37374
2016-03-01,20000,31500,20783,27813,11658,37739
2016-04-01,20304,32134,20667,27215,11216,37579
2016-05-01,19670,31121,18799,25779,10649,34269
2016-06-01,18835,29765,17487,24836,10251,32472
2016-07-01,18584,29154,17099,24298,10024,32285
2016-08-01,18164,28322,16291,23544,9664,31400
2016-09-01,17969,27306,15783,22476,9186,30887
2016-10-01,16438,26723,15109,22053,9042,30643
2016-11-01,16791,26720,15689,22761,9197,31279
2016-12-01,18117,27296,16869,23598,9654,33214
2017-01-01,18398,27293,17077,23710,9551,32683
2017-02-01,18567,27779,18022,24267,9620,33956
2017-03-01,17398,27224,17487,24269,9215,33893
2017-04-01,17138,26450,16666,23621,8787,32880
2017-05-01,18630,25102,15056,22490,8319,29804
2017-06-01,19607,23719,14068,21836,8012,28519
2017-07-01,19693,23166,13691,21524,7825,27474
2017-08-01,18986,22367,13097,21023,7600,26354
2017-09-01,17809,21237,12848,19977,7202,25297
2017-10-01,17172,20589,12365,19026,6865,24467
2017-11-01,17087,20645,13327,19616,7025,25201
2017-12-01,16698,21847,15192,20674,7617,26693
2018-01-01,16899,22064,15457,21441,7688,26069
2018-02-01,17715,22116,16104,22500,7732,26892
2018-03-01,17913,21462,15516,21841,7505,26796
2018-04-01,18192,20815,14856,21212,7068,25464
2018-05-01,17901,19974,13433,19869,6897,23012
2018-06-01,17331,19155,12636,19314,6540,21580
2018-07-01,17253,18782,12328,19152,6434,20891
2018-08-01,17357,18530,12409,18747,6469,20712
2018-09-01,17380,18041,12258,18300,6170,19981
2018-10-01,17501,17720,11877,17832,6007,19450
2018-11-01,17365,17988,12983,18479,6192,20634
2018-12-01,16676,18909,14258,19591,6495,21541
2019-01-01,17938,19880,15708,21455,7132,22481
2019-02-01,19409,21134,17817,23405,7930,25423
2019-03-01,19198,21720,18415,23981,8256,27159
2019-04-01,19172,22625,18909,23253,8255,26932
2019-05-01,18506,22080,17227,21428,7976,23931
2019-06-01,18230,21744,16157,20618,7639,22468
2019-07-01,18702,21987,15569,20079,7500,21718
2019-08-01,18645,21949,15122,19626,7479,21575
2019-09-01,17970,21283,14527,18302,6836,20378
2019-10-01,16941,21152,14032,17826,6661,19851
2019-11-01,16939,21327,14437,17919,6823,20795
2019-12-01,17347,22580,15448,18259,7142,21312
2020-01-01,467,22441,6345,2486,13685,4139
2020-02-01,17539,23103,17528,19726,7785,22939
2020-03-01,16396,23042,17289,19588,7648,23482
2020-04-01,36636,64975,44480,41593,20731,37937
2020-05-01,60190,107709,81546,68235,36549,56873
2020-06-01,78595,129969,114181,88031,48761,68843
2020-07-01,94973,141738,131579,109306,57395,82707
2020-08-01,108278,147778,136446,126214,62041,91741
2020-09-01,115751,148625,128561,128678,62929,92285
2020-10-01,117970,144505,119447,122040,60861,84805
2020-11-01,112730,138817,108754,115008,58462,75150
2020-12-01,107006,134391,102732,106450,56105,65503
2021-01-01,101297,129684,93282,96874,47893,55727
2021-02-01,91307,118467,76606,90783,33141,49615
2021-03-01,54241,103309,61693,75579,22745,41113
2021-04-01,41679,90012,50669,67674,18225,36479
2021-05-01,34075,78048,39859,56667,15779,30141
2021-06-01,29274,70986,30867,45359,13189,24718
2021-07-01,25625,63807,26881,38554,12428,23598
2021-08-01,23328,52464,23539,34722,11398,21450
2021-09-01,20990,43401,20677,29771,9897,19629
2021-10-01,18952,35239,20289,27975,9424,19163
2021-11-01,17783,29220,18017,25070,8836,20455
2021-12-01,17320,23049,16921,22167,8335,20889
2022-01-01,15437,20566,15094,20409,7599,18139
2022-02-01,14364,19209,15200,20335,7561,17489
2022-03-01,13360,19560,15440,20233,7715,17200
2022-04-01,14025,21604,17515,21364,8358,17939
2022-05-01,13719,21866,16858,21069,8415,16706
2022-06-01,13531,22334,16749,21215,8639,16453
